settled_at,process_before_settling,process_after_settling,mu,beta,observer,goal_correct,goal_error_reduction,goal_movement,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy,recovered_mu,final_entropy
-1,,,1,0.1,11,0,0.3566376088867156,0.11647992734595725,0.08333333333333333,-0.02108241983228787,0.09523809523809523,0.08333333333333333,2.0268697525714483,1.2897225791578109
-1,,,1,0.1,12,1,0.381007088474284,0.06126334230530664,0.2916666666666667,0.0044977020588363725,0.3095238095238095,0.2916666666666667,2.0020093039043254,1.3421213181337686
9,0.02053064825009887,-0.022306432996410663,1,0.1,13,0,0.06356854644257481,0.11441233390719292,0.20833333333333334,-0.006242527528969699,0.19047619047619047,0.20833333333333334,1.9667788522190492,1.2991487490252207
2,0.09132350925923727,-0.1303374663992587,1,0.1,14,1,1.4495629616132424,1.029352006558129,0.16666666666666666,-0.11186571842771742,0.16666666666666666,0.16666666666666666,1.977387946290836,0.5244028702001355
17,0.09683713596023868,0.16704179989476065,1,0.1,15,0,0.4146876358866549,0.06223591153949422,0.5416666666666666,0.11731349627447418,0.5952380952380951,0.5416666666666666,2.023219271122805,1.2822846564992116
1,,,1,0.1,16,0,-1.1155708120779144,0.46675871341888336,0.125,-0.012280012366656656,0.11904761904761904,0.125,2.0361131628176357,0.8938919959116631
-1,,,1,0.1,17,1,0.24412953850596608,0.02406785472277711,0.375,-0.0003924200968150604,0.4285714285714285,0.375,2.0030321461682177,1.308614057609548
-1,,,1,0.1,18,0,0.3398416580497603,0.03507379709012911,0.16666666666666666,-0.03401617305897897,0.16666666666666666,0.16666666666666666,1.9945055170392987,1.373887785860991
1,,,1,0.1,19,0,-0.8872084731071204,0.3752379527195801,0.3333333333333333,0.024001985228639278,0.3333333333333333,0.3333333333333333,2.132339677356763,1.0731374974948156
-1,,,1,0.1,20,1,0.7620512639084528,0.2312625716866535,0.20833333333333334,-0.004171761419305309,0.21428571428571427,0.20833333333333334,1.8868215543067572,1.1234746250473515
-1,,,1,0.1,21,0,-0.6149979071270668,0.032864601323125436,0.375,0.03785359006611744,0.4285714285714285,0.375,1.998213370095883,1.3089564654720782
1,,,1,0.1,22,1,1.136525780052534,0.9059598101430892,0.4166666666666667,0.016083702514389397,0.40476190476190477,0.4166666666666667,1.893588172316436,0.3252217536281325
16,0.030237937747992882,0.2509954332171851,1,0.1,23,0,-5.5774867101021455,1.610234668959812,0.4166666666666667,0.10382376957105688,0.42857142857142855,0.4166666666666667,2.222183882237407,0.018345131983380048
1,,,1,0.1,24,0,-0.5715168600765455,0.20961451429036748,0.4583333333333333,-0.009711435086265041,0.45238095238095244,0.4583333333333333,1.946518634175893,0.9887396338915009
1,,,1,0.1,25,1,0.671403940237471,0.2508613775893367,0.0,0.015027716422638893,0.0,0.0,1.9539377065093717,1.0356625828428003
-1,,,1,0.1,26,1,0.6044741335343442,0.09064197567582587,0.08333333333333333,-0.028779743122284263,0.047619047619047616,0.08333333333333333,2.060479424352135,1.302896365749288
1,,,1,0.1,27,0,-0.7436095321623979,0.13992556526363117,0.4166666666666667,0.04679900289188632,0.42857142857142855,0.4166666666666667,1.9783969280393245,1.2741406478456807
-1,,,1,0.1,28,0,0.2035725765663634,0.1434164122978433,0.375,0.0335703366185629,0.33333333333333337,0.375,2.0054102263991243,1.147937202686701
-1,,,1,0.1,29,0,-0.8145233530494529,0.071137993663196,0.5,0.020886825600650916,0.5238095238095238,0.5,1.965817378647597,1.335528861936068
