reader_depth,maker_depth,observer,raw_reading,capped_reading,ceiling,gap,process_recovery,goal_correct
1,3,19,2.44238962255605,1.0,0.3333333333333333,2,0.054787276253797756,1
1,3,20,2.4976293240487584,1.0,0.3333333333333333,2,0.04221775083505874,1
1,3,21,2.0257657767831287,1.0,0.3333333333333333,2,-0.026297255161413347,1
1,3,22,2.4994232792615745,1.0,0.3333333333333333,2,-0.0487402499310563,1
1,3,23,1.9337254065093168,1.0,0.3333333333333333,2,0.22013300730082364,1
2,1,0,1.4345157364909933,1.4345157364909933,1.0,0,-0.016358321263992837,1
2,1,1,1.5815063704602301,1.5815063704602301,1.0,0,-0.03935596567324451,1
2,1,2,1.0605198715923358,1.0605198715923358,1.0,0,-0.0033973918929284252,1
2,1,3,1.4083855160737955,1.4083855160737955,1.0,0,-0.05785736868543845,1
2,1,4,1.3824030709362554,1.3824030709362554,1.0,0,-0.07748008401122952,1
2,1,5,1.451066925129731,1.451066925129731,1.0,0,-0.08176420107889948,1
2,1,6,2.633408389092593,2.633408389092593,1.0,0,-0.009759081722236829,1
2,1,7,1.233111751391359,1.233111751391359,1.0,0,0.09946647595146141,1
2,1,8,1.366281945683798,1.366281945683798,1.0,0,0.00538468798580416,1
2,1,9,1.1671964307911165,1.1671964307911165,1.0,0,0.02294216729066534,1
2,1,10,1.4282521648178044,1.4282521648178044,1.0,0,0.09821052278559383,1
2,1,11,1.3243056809940301,1.3243056809940301,1.0,0,-0.20100986089020823,1
2,1,12,1.3017562478352598,1.3017562478352598,1.0,0,0.0014762644159587168,1
2,1,13,1.4416084310715829,1.4416084310715829,1.0,0,-0.1527824233356152,1
2,1,14,1.930635598173264,1.930635598173264,1.0,0,0.01839713147422284,1
2,1,15,1.519783879979485,1.519783879979485,1.0,0,-0.20224431767961404,1
2,1,16,1.2443460984320096,1.2443460984320096,1.0,0,-0.12517708220306045,1
2,1,17,1.5052474445561053,1.5052474445561053,1.0,0,-0.06450249495377891,1
2,1,18,1.3029215940449548,1.3029215940449548,1.0,0,-0.011372319643579765,1
2,1,19,2.017941951324644,2.017941951324644,1.0,0,-0.18915157216367007,1
2,1,20,1.3981773997038,1.3981773997038,1.0,0,0.10293226644693476,1
2,1,21,1.65554748732772,1.65554748732772,1.0,0,-0.022845944757925896,1
2,1,22,1.1613627964225837,1.1613627964225837,1.0,0,-0.01731456456412972,1
2,1,23,1.0311651708879643,1.0311651708879643,1.0,0,0.02900047180871712,1
2,2,0,2.3283799476361464,2.0,1.0,0,0.29612410301009495,1
2,2,1,2.3815061444282604,2.0,1.0,0,0.11468344658684249,1
2,2,2,2.4728949945530365,2.0,1.0,0,0.17108151456460385,1
2,2,3,2.493181469852529,2.0,1.0,0,0.22542440601863012,1
2,2,4,1.9829193926054638,1.9829193926054638,1.0,0,0.035191520858011804,1
2,2,5,2.4963128979612867,2.0,1.0,0,-0.023918185556320637,1
2,2,6,2.4837641369002474,2.0,1.0,0,0.04736292138340037,1
2,2,7,2.444088070716794,2.0,1.0,0,0.0676714265154017,1
2,2,8,2.267602585934534,2.0,1.0,0,0.39603660846703914,1
2,2,9,2.49422437993414,2.0,1.0,0,0.18490239829282862,1
2,2,10,2.5284682754446606,2.0,1.0,0,0.13816079130815884,1
2,2,11,2.539055319707807,2.0,1.0,0,0.19040837304023128,1
2,2,12,1.8938827615017753,1.8938827615017753,1.0,0,0.07074055895394604,1
2,2,13,2.502961012452394,2.0,1.0,0,0.42281758884542964,1
2,2,14,2.493869103672662,2.0,1.0,0,0.19773045990509575,1
2,2,15,2.468505553484953,2.0,1.0,0,0.14291990789819353,1
2,2,16,2.53177161961258,2.0,1.0,0,0.4188140338651075,1
2,2,17,1.759938807657504,1.759938807657504,1.0,0,-0.03258324189964501,1
2,2,18,2.365038729965105,2.0,1.0,0,0.22052440872101164,1
2,2,19,2.252833840532061,2.0,1.0,0,0.15907154851348504,1
2,2,20,1.5245793857868752,1.5245793857868752,1.0,0,0.09260447879353495,1
2,2,21,2.1335735315076305,2.0,1.0,0,0.22685328543753225,1
2,2,22,2.4928831307220483,2.0,1.0,0,0.21071618043477502,1
2,2,23,2.446175859449064,2.0,1.0,0,-0.10095477985556034,1
2,3,0,2.3606575246290333,2.0,0.6666666666666666,1,0.32605002547320505,1
2,3,1,2.498684442426119,2.0,0.6666666666666666,1,0.16348002644969384,1
2,3,2,2.2831104520343164,2.0,0.6666666666666666,1,0.1271945354559847,1
2,3,3,2.4992683321235645,2.0,0.6666666666666666,1,0.1668797086312166,1
2,3,4,2.4834495023356813,2.0,0.6666666666666666,1,0.10647654508233773,1
2,3,5,2.42171051045486,2.0,0.6666666666666666,1,0.055126832497543354,1
2,3,6,2.6908917435456834,2.0,0.6666666666666666,1,0.4432793841326187,1
2,3,7,2.445203721005664,2.0,0.6666666666666666,1,0.2404528084062243,1
2,3,8,2.497579162391655,2.0,0.6666666666666666,1,0.4661356734492028,1
2,3,9,2.4863051586649463,2.0,0.6666666666666666,1,0.23685871973894934,1
2,3,10,1.505296048993981,1.505296048993981,0.6666666666666666,1,0.1587866121380086,1
2,3,11,2.569162012002346,2.0,0.6666666666666666,1,0.41340474517872683,1
2,3,12,2.576640867470081,2.0,0.6666666666666666,1,0.38576358502827124,1
2,3,13,2.5001776032392633,2.0,0.6666666666666666,1,0.47002277507952883,1
2,3,14,1.9082773662065535,1.9082773662065535,0.6666666666666666,1,0.11749230838791958,1
2,3,15,2.359939508180659,2.0,0.6666666666666666,1,0.02653103114804667,1
2,3,16,2.534245385310506,2.0,0.6666666666666666,1,0.5221058364749992,1
2,3,17,2.1567078958293084,2.0,0.6666666666666666,1,0.16590015250449142,1
2,3,18,2.494946343034103,2.0,0.6666666666666666,1,0.2511221439666691,1
2,3,19,2.44238962255605,2.0,0.6666666666666666,1,0.054787276253797756,1
2,3,20,2.4976293240487584,2.0,0.6666666666666666,1,0.04221775083505874,1
2,3,21,2.0257657767831287,2.0,0.6666666666666666,1,-0.026297255161413347,1
2,3,22,2.4994232792615745,2.0,0.6666666666666666,1,-0.0487402499310563,1
2,3,23,1.9337254065093168,1.9337254065093168,0.6666666666666666,1,0.22013300730082364,1
3,1,0,1.4345157364909933,1.4345157364909933,1.0,0,-0.016358321263992837,1
3,1,1,1.5815063704602301,1.5815063704602301,1.0,0,-0.03935596567324451,1
3,1,2,1.0605198715923358,1.0605198715923358,1.0,0,-0.0033973918929284252,1
3,1,3,1.4083855160737955,1.4083855160737955,1.0,0,-0.05785736868543845,1
3,1,4,1.3824030709362554,1.3824030709362554,1.0,0,-0.07748008401122952,1
3,1,5,1.451066925129731,1.451066925129731,1.0,0,-0.08176420107889948,1
3,1,6,2.633408389092593,2.633408389092593,1.0,0,-0.009759081722236829,1
3,1,7,1.233111751391359,1.233111751391359,1.0,0,0.09946647595146141,1
3,1,8,1.366281945683798,1.366281945683798,1.0,0,0.00538468798580416,1
3,1,9,1.1671964307911165,1.1671964307911165,1.0,0,0.02294216729066534,1
3,1,10,1.4282521648178044,1.4282521648178044,1.0,0,0.09821052278559383,1
3,1,11,1.3243056809940301,1.3243056809940301,1.0,0,-0.20100986089020823,1
3,1,12,1.3017562478352598,1.3017562478352598,1.0,0,0.0014762644159587168,1
3,1,13,1.4416084310715829,1.4416084310715829,1.0,0,-0.1527824233356152,1
3,1,14,1.930635598173264,1.930635598173264,1.0,0,0.01839713147422284,1
3,1,15,1.519783879979485,1.519783879979485,1.0,0,-0.20224431767961404,1
3,1,16,1.2443460984320096,1.2443460984320096,1.0,0,-0.12517708220306045,1
3,1,17,1.5052474445561053,1.5052474445561053,1.0,0,-0.06450249495377891,1
3,1,18,1.3029215940449548,1.3029215940449548,1.0,0,-0.011372319643579765,1
3,1,19,2.017941951324644,2.017941951324644,1.0,0,-0.18915157216367007,1
3,1,20,1.3981773997038,1.3981773997038,1.0,0,0.10293226644693476,1
3,1,21,1.65554748732772,1.65554748732772,1.0,0,-0.022845944757925896,1
3,1,22,1.1613627964225837,1.1613627964225837,1.0,0,-0.01731456456412972,1
3,1,23,1.0311651708879643,1.0311651708879643,1.0,0,0.02900047180871712,1
3,2,0,2.3283799476361464,2.0,1.0,0,0.29612410301009495,1
3,2,1,2.3815061444282604,2.0,1.0,0,0.11468344658684249,1
3,2,2,2.4728949945530365,2.0,1.0,0,0.17108151456460385,1
3,2,3,2.493181469852529,2.0,1.0,0,0.22542440601863012,1
3,2,4,1.9829193926054638,1.9829193926054638,1.0,0,0.035191520858011804,1
3,2,5,2.4963128979612867,2.0,1.0,0,-0.023918185556320637,1
3,2,6,2.4837641369002474,2.0,1.0,0,0.04736292138340037,1
3,2,7,2.444088070716794,2.0,1.0,0,0.0676714265154017,1
3,2,8,2.267602585934534,2.0,1.0,0,0.39603660846703914,1
3,2,9,2.49422437993414,2.0,1.0,0,0.18490239829282862,1
3,2,10,2.5284682754446606,2.0,1.0,0,0.13816079130815884,1
3,2,11,2.539055319707807,2.0,1.0,0,0.19040837304023128,1
3,2,12,1.8938827615017753,1.8938827615017753,1.0,0,0.07074055895394604,1
3,2,13,2.502961012452394,2.0,1.0,0,0.42281758884542964,1
3,2,14,2.493869103672662,2.0,1.0,0,0.19773045990509575,1
3,2,15,2.468505553484953,2.0,1.0,0,0.14291990789819353,1
3,2,16,2.53177161961258,2.0,1.0,0,0.4188140338651075,1
3,2,17,1.759938807657504,1.759938807657504,1.0,0,-0.03258324189964501,1
3,2,18,2.365038729965105,2.0,1.0,0,0.22052440872101164,1
3,2,19,2.252833840532061,2.0,1.0,0,0.15907154851348504,1
3,2,20,1.5245793857868752,1.5245793857868752,1.0,0,0.09260447879353495,1
3,2,21,2.1335735315076305,2.0,1.0,0,0.22685328543753225,1
3,2,22,2.4928831307220483,2.0,1.0,0,0.21071618043477502,1
3,2,23,2.446175859449064,2.0,1.0,0,-0.10095477985556034,1
3,3,0,2.3606575246290333,2.3606575246290333,1.0,0,0.32605002547320505,1
3,3,1,2.498684442426119,2.498684442426119,1.0,0,0.16348002644969384,1
3,3,2,2.2831104520343164,2.2831104520343164,1.0,0,0.1271945354559847,1
3,3,3,2.4992683321235645,2.4992683321235645,1.0,0,0.1668797086312166,1
3,3,4,2.4834495023356813,2.4834495023356813,1.0,0,0.10647654508233773,1
3,3,5,2.42171051045486,2.42171051045486,1.0,0,0.055126832497543354,1
3,3,6,2.6908917435456834,2.6908917435456834,1.0,0,0.4432793841326187,1
3,3,7,2.445203721005664,2.445203721005664,1.0,0,0.2404528084062243,1
3,3,8,2.497579162391655,2.497579162391655,1.0,0,0.4661356734492028,1
3,3,9,2.4863051586649463,2.4863051586649463,1.0,0,0.23685871973894934,1
3,3,10,1.505296048993981,1.505296048993981,1.0,0,0.1587866121380086,1
3,3,11,2.569162012002346,2.569162012002346,1.0,0,0.41340474517872683,1
3,3,12,2.576640867470081,2.576640867470081,1.0,0,0.38576358502827124,1
3,3,13,2.5001776032392633,2.5001776032392633,1.0,0,0.47002277507952883,1
