leak,detection,strategy,maker,quality,was_lying,times_caught,payoff
0.0,1.0,honest,4,3,False,0,1.4005597231420053
0.0,1.0,honest,5,1,False,0,0.01321975878358319
0.0,1.0,honest,6,3,False,0,1.433842354128877
0.0,1.0,honest,7,1,False,0,0.0069400088439016
0.0,1.0,honest,8,3,False,0,1.3277729996404728
0.0,1.0,honest,9,1,False,0,0.0019569460948726802
0.0,1.0,honest,10,3,False,0,1.409736592911765
0.0,1.0,honest,11,1,False,0,0.013116554902093827
0.0,1.0,honest,12,3,False,0,1.4880453159849543
0.0,1.0,honest,13,1,False,0,0.009501510659122444
0.0,1.0,honest,14,3,False,0,1.3683826301944697
0.0,1.0,honest,15,1,False,0,0.013976540673717288
0.0,1.0,honest,16,3,False,0,1.4206317569223765
0.0,1.0,honest,17,1,False,0,0.0044321405196511305
0.0,1.0,honest,18,3,False,0,1.3710576971800197
0.0,1.0,honest,19,1,False,0,0.004821342047093803
0.0,1.0,honest,20,3,False,0,1.471455711510152
0.0,1.0,honest,21,1,False,0,0.0029612950653943506
0.0,1.0,honest,22,3,False,0,1.4452299358011373
0.0,1.0,honest,23,1,False,0,0.005411108211087533
0.0,1.0,defect,0,3,False,0,1.3499961885937284
0.0,1.0,defect,1,1,True,12,-1.3912992187105135
0.0,1.0,defect,2,3,False,0,1.3671674679209567
0.0,1.0,defect,3,1,True,12,-1.5321288260056567
0.0,1.0,defect,4,3,False,0,1.4005597231420053
0.0,1.0,defect,5,1,True,12,-1.1362387616215164
0.0,1.0,defect,6,3,False,0,1.433842354128877
0.0,1.0,defect,7,1,True,12,-1.744715348711874
0.0,1.0,defect,8,3,False,0,1.3277729996404728
0.0,1.0,defect,9,1,True,12,-1.8004786946837055
0.0,1.0,defect,10,3,False,0,1.409736592911765
0.0,1.0,defect,11,1,True,12,-1.320598119113625
0.0,1.0,defect,12,3,False,0,1.4880453159849543
0.0,1.0,defect,13,1,True,12,-1.647001700771882
0.0,1.0,defect,14,3,False,0,1.3683826301944697
0.0,1.0,defect,15,1,True,12,-1.3070758561660156
0.0,1.0,defect,16,3,False,0,1.4206317569223765
0.0,1.0,defect,17,1,True,12,-1.6759682258863446
0.0,1.0,defect,18,3,False,0,1.3710576971800197
0.0,1.0,defect,19,1,True,12,-1.5854387277115451
0.0,1.0,defect,20,3,False,0,1.471455711510152
0.0,1.0,defect,21,1,True,12,-1.8913455450780792
0.0,1.0,defect,22,3,False,0,1.4452299358011373
0.0,1.0,defect,23,1,True,12,-1.6586357460187535
0.1,0.0,honest,0,3,False,0,1.3507409255345866
0.1,0.0,honest,1,1,False,0,0.02469402704450663
0.1,0.0,honest,2,3,False,0,1.3679227883191356
0.1,0.0,honest,3,1,False,0,0.017466345136990618
0.1,0.0,honest,4,3,False,0,1.4013325020796692
0.1,0.0,honest,5,1,False,0,0.03046090448551593
0.1,0.0,honest,6,3,False,0,1.434633557846147
0.1,0.0,honest,7,1,False,0,0.01582537381075077
0.1,0.0,honest,8,3,False,0,1.3285054844417423
0.1,0.0,honest,9,1,False,0,0.004255508341270922
0.1,0.0,honest,10,3,False,0,1.4105142880083517
0.1,0.0,honest,11,1,False,0,0.027664624265826675
0.1,0.0,honest,12,3,False,0,1.4888662067555407
0.1,0.0,honest,13,1,False,0,0.021208765524052913
0.1,0.0,honest,14,3,False,0,1.3691375086263229
0.1,0.0,honest,15,1,False,0,0.03005130292816538
0.1,0.0,honest,16,3,False,0,1.421416364960321
0.1,0.0,honest,17,1,False,0,0.008995269139638575
0.1,0.0,honest,18,3,False,0,1.3718140505205196
0.1,0.0,honest,19,1,False,0,0.010696534808263963
0.1,0.0,honest,20,3,False,0,1.4722674825459048
0.1,0.0,honest,21,1,False,0,0.007388101559988622
0.1,0.0,honest,22,3,False,0,1.44602722002128
0.1,0.0,honest,23,1,False,0,0.012250548703309874
0.1,0.0,defect,0,3,False,0,1.3507409255345866
0.1,0.0,defect,1,1,True,0,0.6093811345631049
