n_train,arm,observer,detector_fired,detector_score,engaged_fraction,engaged_without_detector,goal_correct
128,machine,38,0,-0.5227316513000171,0.0,0.0,0
128,machine,39,0,-0.035120171885941964,0.0,0.0,0
128,human_careful,0,0,-0.1541506798272585,0.25,0.25,1
128,human_careful,1,0,-0.11122563511022454,0.0,0.0,1
128,human_careful,2,1,0.3101549283038394,0.075,0.5,1
128,human_careful,3,0,-0.54654370636807,0.0,0.0,1
128,human_careful,4,0,-0.11122563511022454,0.0,0.0,1
128,human_careful,5,0,-0.5108256237659905,0.0,0.0,1
128,human_careful,6,1,0.6688680725758566,0.024999999999999998,0.16666666666666666,1
128,human_careful,7,0,-0.13378046364143414,0.0,0.0,1
128,human_careful,8,1,0.02923455269446344,0.075,0.5,1
128,human_careful,9,0,0.0,0.5,0.5,1
128,human_careful,10,0,0.0,0.25,0.25,1
128,human_careful,11,1,0.3101549283038394,0.012499999999999999,0.08333333333333333,1
128,human_careful,12,0,-0.23716543974271395,0.5,0.5,1
128,human_careful,13,0,-0.54654370636807,0.0,0.0,1
128,human_careful,14,0,-0.34055041584399365,0.0,0.0,1
128,human_careful,15,1,0.4054651081081646,0.0,0.0,1
128,human_careful,16,1,0.4054651081081646,0.0,0.0,1
128,human_careful,17,0,-0.17027520792199682,0.0,0.0,1
128,human_careful,18,0,-0.5777158555867077,0.0,0.0,1
128,human_careful,19,0,-0.34055041584399365,0.0,0.0,1
128,human_careful,20,1,0.3101549283038394,0.0,0.0,1
128,human_careful,21,1,0.7912270048925919,0.0,0.0,1
128,human_careful,22,0,-0.34055041584399365,0.0,0.0,1
128,human_careful,23,1,0.3867686192244832,0.024999999999999998,0.16666666666666666,1
128,human_careful,24,1,0.06100461262923851,0.0,0.0,1
128,human_careful,25,0,-0.17027520792199682,0.16666666666666666,0.16666666666666666,1
128,human_careful,26,0,-0.46897121610754217,0.0,0.0,1
128,human_careful,27,1,0.23323486036870156,0.0,0.0,1
128,human_careful,28,1,0.06100461262923851,0.012499999999999999,0.08333333333333333,1
128,human_careful,29,1,0.007490951950686202,0.075,0.5,1
128,human_careful,30,1,0.7094105686164228,0.049999999999999996,0.3333333333333333,1
128,human_careful,31,0,-0.11122563511022454,0.08333333333333333,0.08333333333333333,1
128,human_careful,32,1,0.09773564946125024,0.024999999999999998,0.16666666666666666,1
128,human_careful,33,0,-0.2849483553408623,0.08333333333333333,0.08333333333333333,1
128,human_careful,34,0,-0.4157460308544662,0.0,0.0,1
128,human_careful,35,0,-0.34055041584399365,0.5,0.5,1
128,human_careful,36,0,-0.34055041584399365,0.08333333333333333,0.08333333333333333,1
128,human_careful,37,0,-0.13378046364143414,0.3333333333333333,0.3333333333333333,1
128,human_careful,38,0,-0.4157460308544662,0.0,0.0,1
128,human_careful,39,1,0.3101549283038394,0.075,0.5,1
128,human_fast,0,0,-0.102767119884839,0.08333333333333333,0.08333333333333333,1
128,human_fast,1,1,0.09807982433264668,0.012499999999999999,0.08333333333333333,1
128,human_fast,2,1,0.3101549283038394,0.0,0.0,0
128,human_fast,3,0,-0.522731651300017,0.0,0.0,1
128,human_fast,4,0,-0.102767119884839,0.0,0.0,1
