arm,content,declared_signal,n,within_observer,within_observer_sd,between_observer,between_observer_sd,engaged_fraction,engaged_fraction_sd,accuracy
D_effort_heuristic@0.01,human_directed,SIG_CREATOR,4000,1.3667596077480206,0.01302892292951329,1.3769159588189674,0.006794396085484859,0.9990714285714286,0.02755960303895195,0.254
D_effort_heuristic@0.02,human_directed,SIG_CREATOR,4000,1.3667596077480206,0.01302892292951329,1.3769159588189674,0.006794396085484859,0.9831071428571428,0.09532471367381043,0.254
D_effort_heuristic@0.05,human_directed,SIG_CREATOR,4000,1.3667596077480206,0.01302892292951329,1.3769159588189674,0.006794396085484859,0.4055357142857143,0.1626673443292345,0.254
D_effort_heuristic@0.1,human_directed,SIG_CREATOR,4000,1.3667596077480206,0.01302892292951329,1.3769159588189674,0.006794396085484859,0.08044642857142856,0.023726602022268707,0.254
D_effort_heuristic@0.2,human_directed,SIG_CREATOR,4000,1.3667596077480206,0.01302892292951329,1.3769159588189674,0.006794396085484859,0.0714285714285714,2.775904571323773e-17,0.254
D_effort_heuristic@0.4,human_directed,SIG_CREATOR,4000,1.3667596077480206,0.01302892292951329,1.3769159588189674,0.006794396085484859,0.0714285714285714,2.775904571323773e-17,0.254
E_no_tom_classifier@0.6,human_directed,SIG_CREATOR,4000,0.00029396628984996987,0.010637461147845776,0.0,0.0,0.0,0.0,1.0
E_no_tom_classifier@0.8,human_directed,SIG_CREATOR,4000,0.00016731268960223645,0.005309259583205258,0.0,0.0,1.7857142857142855e-05,0.0011293848786315642,1.0
E_no_tom_classifier@0.95,human_directed,SIG_CREATOR,4000,9.864553157435021e-05,0.0024298735462780973,0.0,0.0,3.571428571428571e-05,0.0015969917011627141,1.0
E_no_tom_classifier@0.99,human_directed,SIG_CREATOR,4000,4.4728910852600324e-05,0.0007579555341596113,0.0,0.0,8.928571428571427e-05,0.0029871106771168117,1.0
A_active_inference,human_directed,SIG_GHOST,4000,0.9845477783566517,0.13921188928155756,0.0,0.0,0.0,0.0,1.0
B_bayesian_always_deep,human_directed,SIG_GHOST,4000,0.20941897426433642,0.08213200061627991,0.0,0.0,1.0,0.0,1.0
