label,kappa,coupling,values_layer,observer,integration,theta_EC,value_divergence,psi,goal_correct,final_entropy,error_reduction
honest,0.2,1.0,False,17,0.09206678873711555,0.28868855859709436,0.010860698246368004,0.00022312338158860906,0,1.3826809975250491,-0.0006423014788174974
honest,0.2,1.0,True,17,0.002497855501639951,0.7513342076477285,0.5891677595596606,6.053539760542738e-06,0,1.3826809975250491,-0.0006423014788174974
honest,0.2,0.0,False,18,0.05554968525861068,0.40191227413454683,0.051912274134546854,0.0006434813995294427,0,1.320103490617626,-0.37371507652785496
honest,0.2,0.0,True,18,7.951264168193878e-05,1.2276859975972925,0.8776859975972926,9.210656318137476e-07,0,1.320103490617626,-0.37371507652785496
honest,0.2,1.0,False,18,0.10062805439798744,0.32152981930763747,0.051912274134546854,0.0011656642332803261,0,1.320103490617626,-0.37371507652785496
honest,0.2,1.0,True,18,0.0005666412197379128,0.9821487980778341,0.8776859975972926,6.563909109665079e-06,0,1.320103490617626,-0.37371507652785496
honest,0.2,0.0,False,19,0.06358483236535573,0.3560144398891463,0.0060144398891463086,8.533615284367822e-05,0,1.3588402668026243,-0.0715922227623711
honest,0.2,0.0,True,19,0.0001868686394620967,1.0929186634393364,0.7429186634393365,2.5079331321027803e-07,0,1.3588402668026243,-0.0715922227623711
honest,0.2,1.0,False,19,0.10716224616775723,0.284811551911317,0.0060144398891463086,0.00014382067983600072,0,1.3588402668026243,-0.0715922227623711
honest,0.2,1.0,True,19,0.0010729735643993875,0.8743349307514692,0.7429186634393365,1.4400200909973743e-06,0,1.3588402668026243,-0.0715922227623711
honest,0.2,0.0,False,20,0.04848257783115445,0.49234179799859024,0.14234179799859023,0.0015399353595076822,0,1.219613102541933,-0.40352994215714855
honest,0.2,0.0,True,20,0.026148160481698074,0.572420154257155,0.22242015425715497,0.0008305349821142024,0,1.219613102541933,-0.40352994215714855
honest,0.2,1.0,False,20,0.100732993513039,0.39387343839887223,0.14234179799859023,0.003199547250148621,0,1.219613102541933,-0.40352994215714855
honest,0.2,1.0,True,20,0.06287853320453111,0.457936123405724,0.22242015425715497,0.0019971891134347654,0,1.219613102541933,-0.40352994215714855
honest,0.2,0.0,False,21,0.04935128618588861,0.377114033873133,0.02711403387313305,0.00029859116310797836,1,1.3761169692958166,0.08113076526267538
honest,0.2,0.0,True,21,0.0027986740731525284,0.741817301554123,0.391817301554123,1.693287878081085e-05,1,1.3761169692958166,0.08113076526267538
honest,0.2,1.0,False,21,0.08668513088107387,0.30169122709850643,0.02711403387313305,0.0005244729378775182,1,1.3761169692958166,0.08113076526267538
honest,0.2,1.0,True,21,0.009112993651828601,0.5934538412432984,0.391817301554123,5.513654423606854e-05,1,1.3761169692958166,0.08113076526267538
honest,0.2,0.0,False,22,0.06578662901061472,0.3637057089453542,0.013705708945354202,0.00020119791629205608,1,1.3418710050539269,0.12950298945739802
honest,0.2,0.0,True,22,0.0013308422959708661,0.8596211156614166,0.5096211156614167,4.070168982506618e-06,1,1.3418710050539269,0.12950298945739802
honest,0.2,1.0,False,22,0.11191188806374489,0.2909645671562834,0.013705708945354202,0.0003422646672335537,1,1.3418710050539269,0.12950298945739802
honest,0.2,1.0,True,22,0.005245018342564842,0.6876968925291334,0.5096211156614167,1.6041052373536095e-05,1,1.3418710050539269,0.12950298945739802
honest,0.2,0.0,False,23,0.05533536675915734,0.36824749349152086,0.018247493491520873,0.00022531512740683128,0,1.3674819625393855,-0.11555960304677315
honest,0.2,0.0,True,23,0.0007584912601397056,0.9114978399121564,0.5614978399121564,3.0884326774081413e-06,0,1.3674819625393855,-0.11555960304677315
honest,0.2,1.0,False,23,0.0955029642106575,0.2945979947932167,0.018247493491520873,0.0003888699724809058,0,1.3674819625393855,-0.11555960304677315
honest,0.2,1.0,True,23,0.0032526607637728827,0.7291982719297252,0.5614978399121564,1.3244218251782102e-05,0,1.3674819625393855,-0.11555960304677315
honest,0.2,0.0,False,24,0.06638944242714348,0.3827987165326765,0.03279871653267649,0.00048589251748973463,0,1.3137100007255258,-0.3652466607754319
honest,0.2,0.0,True,24,0.0001066539132369093,1.1955853936172351,0.8455853936172353,7.805810157192389e-07,0,1.3137100007255258,-0.3652466607754319
honest,0.2,1.0,False,24,0.11598189942903586,0.30623897322614124,0.03279871653267649,0.0008488508870768086,0,1.3137100007255258,-0.3652466607754319
honest,0.2,1.0,True,24,0.0007219170536853835,0.9564683148937881,0.8455853936172353,5.283582476519612e-06,0,1.3137100007255258,-0.3652466607754319
honest,0.2,0.0,False,25,0.07425082650659628,0.3556649527913266,0.005664952791326644,9.386029781345903e-05,0,1.3304673853512698,-0.12402719528806672
honest,0.2,0.0,True,25,0.00011488020382850613,1.1742088744933166,0.8242088744933167,1.4521979958373327e-07,0,1.3304673853512698,-0.12402719528806672
honest,0.2,1.0,False,25,0.12410801607557975,0.28453196223306126,0.005664952791326644,0.0001568846556725752,0,1.3304673853512698,-0.12402719528806672
honest,0.2,1.0,True,25,0.0007514369044515364,0.9393670995946533,0.8242088744933167,9.498896505021291e-07,0,1.3304673853512698,-0.12402719528806672
honest,0.2,0.0,False,26,0.055639207202154504,0.37982831499473985,0.029828314994739875,0.0003703343482391785,1,1.350422894272474,0.34797090093116956
honest,0.2,0.0,True,26,0.0007821501044783062,0.919960972444427,0.569960972444427,5.205988074466355e-06,1,1.350422894272474,0.34797090093116956
