leak,reader,encounter,rejectable,gate_open,looked,drift_from_start,value_divergence
0.0,3,6,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.881496778691748
0.0,3,7,True,3.572520160340776e-19,0.25,-3.9999115131275136e-12,5.934081164309956
0.0,3,8,True,8.75651076269652e-27,0.2916666666666667,-3.9999115131275136e-12,8.174606210693495
0.0,3,9,True,1.7808994437350477e-19,0.25,-3.9999115131275136e-12,6.022655144606216
0.0,3,10,True,3.374114706052002e-19,0.25,-3.9999115131275136e-12,5.941220531550046
0.0,3,11,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.668235355191394
0.0,3,12,True,8.75651076269652e-27,0.6666666666666666,-3.9999115131275136e-12,13.81551054405708
0.0,3,13,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.831021825898368
0.0,3,14,True,8.75651076269652e-27,0.4166666666666667,-3.9999115131275136e-12,13.81550930804326
0.0,3,15,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.236637529701238
0.0,3,16,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.55896161684628
0.0,3,17,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,10.10597251578158
0.0,3,18,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.156230881964627
0.0,3,19,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.146868695756305
0.0,4,0,True,1.9251156762797502e-26,0.25,-3.9999115131275136e-12,8.04816677074072
0.0,4,1,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.798872109564496
0.0,4,2,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.788732222785274
0.0,4,3,True,8.75651076269652e-27,0.6666666666666666,-3.9999115131275136e-12,13.815510557125393
0.0,4,4,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.233163851537102
0.0,4,5,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.671601656640657
0.0,4,6,True,1.710695916752001e-20,0.25,-3.9999115131275136e-12,6.3251998787438675
0.0,4,7,True,8.75651076269652e-27,0.4166666666666667,-3.9999115131275136e-12,10.117958330328122
0.0,4,8,True,8.75651076269652e-27,0.5416666666666666,-3.9999115131275136e-12,13.815509660684688
0.0,4,9,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.384521833659978
0.0,4,10,True,2.0924645760890642e-18,0.25,-3.9999115131275136e-12,5.715554218156935
0.0,4,11,True,8.75651076269652e-27,0.625,-3.9999115131275136e-12,13.815510556662899
0.0,4,12,True,9.91254408516242e-18,0.25,-3.9999115131275136e-12,5.506766798708478
0.0,4,13,True,1.0514849994714641e-13,0.2916666666666667,-3.999883757551897e-12,4.3038379533517475
0.0,4,14,True,1.3437504522780037e-11,0.25,-3.9999392686877205e-12,3.6513342299324107
0.0,4,15,True,8.75651076269652e-27,0.25,-3.9999392686877205e-12,9.018777172173415
0.0,4,16,True,8.75651076269652e-27,0.25,-3.9999392686877205e-12,8.912385072867442
0.0,4,17,True,8.75651076269652e-27,0.25,-3.9999392686877205e-12,9.136993947945344
0.0,4,18,True,8.75651076269652e-27,0.25,-3.9999392686877205e-12,9.485603688274903
0.0,4,19,True,3.818431055646607e-20,0.25,-3.9999392686877205e-12,6.222937280122636
0.0,5,0,True,8.75651076269652e-27,0.2916666666666667,-3.9999115131275136e-12,11.857139257852221
0.0,5,1,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.620428166604075
0.0,5,2,True,1.4555862593553099e-15,0.25,-3.999883757551898e-12,4.874027550251058
0.0,5,3,True,2.0162693416972687e-16,0.25,-3.999828246400667e-12,5.1309360817870555
0.0,5,4,True,8.75651076269652e-27,0.2916666666666667,-3.999828246400667e-12,11.186823715597075
0.0,5,5,True,8.75651076269652e-27,0.5,-3.999828246400667e-12,13.815508506790982
0.0,5,6,True,8.75651076269652e-27,0.3333333333333333,-3.999828246400667e-12,10.007553579722678
0.0,5,7,True,8.75651076269652e-27,0.25,-3.999828246400667e-12,9.377802010758689
0.0,5,8,True,8.75651076269652e-27,0.25,-3.999828246400667e-12,10.42667749694647
0.0,5,9,True,1.8015862244642772e-08,0.3333333333333333,-3.999756872950558e-12,2.6244337049677866
