arm,content,omega,seed_rep,observer,true_goal,explore_mass,final_entropy,real_goal_entropy,modal_real_goal,modal_goal_full,correct,engaged_fraction,cum_deep,modal_is_explore
explore_off,human_directed,0.0,0,122,0,0.0,1.1369725069261164e-11,1.1369614046958703e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,123,0,0.0,1.7633514455693956e-09,1.7633514455693956e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,124,0,0.0,1.4010303216387008e-13,1.4010303216387008e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,125,0,0.0,1.7230947794368483e-13,1.7230947794368483e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,126,0,0.0,4.330354599911598e-10,4.330353489688574e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,127,0,0.0,1.0122329541784474e-12,1.0122329541784474e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,128,0,0.0,5.680841129659288e-13,5.680841129659288e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,129,0,0.0,4.123112763804541e-09,4.123112763804541e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,130,0,0.0,4.263941590345669e-10,4.263939369899621e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,131,0,0.0,1.646997765914699e-13,1.645887542890074e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,132,0,0.0,3.662733929188088e-13,3.662733929188088e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,133,0,0.0,0.00012007858165656548,0.00012007858165656548,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,134,0,0.0,2.279605257649293e-10,2.2796074780953417e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,135,0,0.0,1.8245708443449782e-08,1.8245708332427486e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,136,0,0.0,7.977668818630444e-13,7.976558595605821e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,137,0,0.0,2.7211286929989255e-10,2.721130913444974e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,138,0,0.0,1.1304338215240288e-06,1.1304338215240288e-06,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,139,0,0.0,7.76677756803857e-06,7.76677756803857e-06,0,0,1,0.0,10,0
