tier,seed_rep,observer,true_goal,modal_goal,correct,first_skim_t,cum_deep,final_goal_entropy
CREATOR,1,93,0,0,1,1,1,0.22786717109208632
CREATOR,1,94,0,0,1,1,1,0.23242280391636422
CREATOR,1,95,3,3,1,2,2,0.014239692979410946
CREATOR,1,96,0,0,1,2,2,0.014172716184714601
CREATOR,1,97,1,1,1,1,1,0.24244397764749953
CREATOR,1,98,0,0,1,1,1,0.25142711753084446
CREATOR,1,99,3,3,1,1,1,0.2161829633352883
CREATOR,1,100,3,3,1,1,1,0.30567745397648527
CREATOR,1,101,3,3,1,2,2,0.01587852571472449
CREATOR,1,102,0,2,0,1,1,0.2009598428735763
CREATOR,1,103,0,0,1,2,2,0.013152303464095044
CREATOR,1,104,3,3,1,4,4,0.16923915407825493
CREATOR,1,105,3,3,1,1,1,0.24796967679438234
CREATOR,1,106,0,0,1,3,3,0.07199602678206056
CREATOR,1,107,3,3,1,2,2,0.014624909124941417
CREATOR,1,108,1,1,1,2,2,0.015413305824529506
CREATOR,1,109,2,2,1,1,1,0.25536289504983495
CREATOR,1,110,2,2,1,2,2,0.017090072927159517
CREATOR,1,111,3,3,1,3,3,0.08686596865764089
CREATOR,1,112,1,1,1,2,2,0.017206026953962138
CREATOR,1,113,1,1,1,2,2,0.013285589886191496
CREATOR,1,114,2,2,1,2,2,0.015547847166386018
CREATOR,1,115,1,1,1,2,2,0.015309744570296466
CREATOR,1,116,0,0,1,3,3,0.1295399893694206
CREATOR,1,117,2,2,1,2,2,0.013252482722241221
CREATOR,1,118,1,1,1,1,1,0.2554624010759425
CREATOR,1,119,3,3,1,2,2,0.01418818244347375
CREATOR,1,120,3,3,1,2,2,0.01301383731414197
CREATOR,1,121,0,0,1,1,1,0.2339889319896503
CREATOR,1,122,1,1,1,1,1,0.22836841520381915
CREATOR,1,123,2,2,1,2,2,0.0133110540188617
CREATOR,1,124,1,1,1,1,1,0.21203097412663452
CREATOR,1,125,0,0,1,2,2,0.01608221723920657
CREATOR,1,126,2,2,1,1,1,0.29219713500595157
CREATOR,1,127,3,3,1,1,1,0.23242831797625074
CREATOR,1,128,2,2,1,1,1,0.2812624024010196
CREATOR,1,129,1,1,1,1,1,0.2337318525825902
CREATOR,1,130,0,0,1,1,1,0.234595161640254
CREATOR,1,131,2,2,1,2,2,0.0162887811736555
CREATOR,1,132,3,3,1,2,2,0.016439973530242694
CREATOR,1,133,3,3,1,2,2,0.016733591804730358
CREATOR,1,134,0,0,1,1,1,0.26870494573783066
CREATOR,1,135,2,2,1,2,2,0.014785722881968043
CREATOR,1,136,3,3,1,1,1,0.22983004833438664
CREATOR,1,137,3,3,1,2,2,0.014975744262200498
