kappa_p,beta,theta,seed_rep,observer,source_goal,engaged_fraction,final_entropy,mean_entropy,psi_per_encounter,prior_drift,prior_mass_on_source_goal,value_divergence,theta_value,recovered_beta,correct
low_foreign,low,closed,4,24,2,0.0,1.3862943611198906,1.381970432608869,0.0005061256830871904,1.2683960759967555e-05,0.3109794589278819,0.9702339649386409,0.0203677835483471,0.4997285699113849,1
low_foreign,low,closed,4,25,2,0.0,1.3862943611198906,1.3813519476994018,0.0006101143924227428,1.4581503414937613e-05,0.21336751765764847,0.9587575206534938,0.022057064072187365,0.5,0
low_foreign,low,closed,4,26,2,0.0,1.3862943611198906,1.3825723890957324,0.0004454455267537661,9.681610758433836e-06,0.22318662002433526,0.9644775575805155,0.021822673057444418,0.49948403867165486,0
low_foreign,low,closed,4,27,2,0.0,1.3862943611198906,1.3789269800215695,0.0008517895300937916,1.9142683416189295e-05,0.20374615788340059,1.0173356882578546,0.016908628697945474,0.5,0
low_foreign,low,closed,4,28,2,0.0,1.3862943611198906,1.3698571809196856,0.0025561507387627876,7.170354149206148e-05,0.2094710217248555,1.0146234962790708,0.019419877959288272,0.4977824580932683,0
low_foreign,low,closed,4,29,2,0.0,1.3862943611198906,1.385395143964514,0.00011047884900591636,2.6127142005777284e-06,0.25085876241181604,0.9793770823514487,0.019705631163749154,0.5,0
low_foreign,low,closed,4,30,2,0.0,1.3862943611198906,1.3817819473169413,0.0005657229655549715,1.3746653933493103e-05,0.22633449383669849,0.9799517815889099,0.019650015159446213,0.5,0
low_foreign,low,closed,4,31,2,0.0,1.3862943611198906,1.382293418254107,0.000493853634122012,1.1773567478799924e-05,0.20060358467563574,0.9684834586808309,0.02085688122758655,0.5,0
low_foreign,low,closed,4,32,2,0.0,1.3862943611198906,1.3801833864087996,0.0007332979945558089,1.7125710144739233e-05,0.18810348559115575,0.9401008277010866,0.024905631678926156,0.5,0
low_foreign,low,closed,4,33,2,0.0,1.3862943611198906,1.3830561173880425,0.00038691962298110925,8.941467603329912e-06,0.2453134524322176,1.0143487208299766,0.01707426633223387,0.5,0
low_foreign,low,closed,4,34,2,0.0,1.3862943611198906,1.3838430227351235,0.0003019259884671565,7.172392319387214e-06,0.22818152813192163,0.9846886957940374,0.01920967799922458,0.5,0
low_foreign,low,closed,4,35,2,0.0,1.3862943611198906,1.379594257399187,0.0007942849067584522,1.833492637416537e-05,0.24557921130765278,0.9350958365652222,0.025811576857959182,0.5,0
low_foreign,low,closed,4,36,2,0.0,1.3862943611198906,1.3746128194296285,0.0013316320479371151,2.9686636698109288e-05,0.1967359910700663,1.054668846424085,0.015376429549629872,0.5,0
low_foreign,low,closed,4,37,2,0.0,1.3862943611198906,1.3835495336043155,0.0003521067119771596,8.732480080541739e-06,0.2775676111333494,0.9797804283417985,0.019666546891829898,0.5,0
low_foreign,low,closed,4,38,2,0.0,1.3862943611198906,1.3845817826088507,0.00020600306754978387,4.777129019309246e-06,0.24259928614781978,0.9670245601321225,0.02102594131223209,0.5,0
low_foreign,low,closed,4,39,2,0.0,1.3862943611198906,1.383913844555528,0.000304979816581998,7.548010235375606e-06,0.19569680124709005,0.9997747393479904,0.018002230870160226,0.5,0
low_foreign,low,closed,4,40,2,0.0,1.3862943611198906,1.3827532579756945,0.0004270895654314289,9.54745899469766e-06,0.27299259034329854,1.04306258381723,0.015582865182325769,0.4998732773049101,0
low_foreign,low,closed,4,41,2,0.0,1.3862943611198906,1.3811335253524764,0.0006280882361887037,1.484600538299212e-05,0.1900595568094847,0.9482621097009571,0.023562882265735434,0.5,0
low_foreign,low,closed,4,42,2,0.0,1.3862943611198906,1.3818736805366822,0.0005369904312964224,1.266104727053359e-05,0.32042875251548275,1.0026692450618102,0.017800914587979992,0.5,1
low_foreign,low,closed,4,43,2,0.0,1.3862943611198906,1.3745050438156443,0.0013349124637553156,2.9542194415800105e-05,0.206669388191718,1.0395155771004547,0.01589293753069651,0.5,0
low_foreign,low,closed,4,44,2,0.0,1.3862943611198906,1.3850641046993974,0.00015263689925382615,3.645721996471652e-06,0.272925545345124,1.0284284456280095,0.01635675279634891,0.5,1
