regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,naive,0.5,0.9,0.6,0,1,0.8508996493721176,1.0887088433787815,0.7815676840939136,0.03271355972062656,0.5275
symmetric,naive,0.5,0.9,0.6,0,2,0.8825587728038673,1.0887088433787815,0.8106471975233227,0.04014501443534342,0.5275
symmetric,naive,0.5,0.9,0.6,0,3,0.9267710745461719,1.0887088433787815,0.8512570465304207,0.03294567612549165,0.5275
symmetric,naive,0.5,0.9,0.6,0,4,0.9648292412569679,1.0887088433787815,0.886214204215191,0.030547678278371373,0.5275
symmetric,naive,0.5,0.9,0.6,0,5,0.9322407736447771,1.0887088433787815,0.8562810702920264,0.25894831300474763,0.5275
symmetric,naive,0.5,0.9,0.6,1,0,1.0082714367900378,1.0887088433787815,0.9261166958659873,0.2243272970474392,0.505
symmetric,naive,0.5,0.9,0.6,1,1,1.0630318563876355,1.0887088433787815,0.9764151938809847,1.399020178877449,0.505
symmetric,naive,0.5,0.9,0.6,1,2,0.867658136251885,1.0887088433787815,0.7969606764276196,0.3127005121941198,0.505
symmetric,naive,0.5,0.9,0.6,1,3,0.9050027330259479,1.0887088433787815,0.8312624064091313,0.4223834019773168,0.505
symmetric,naive,0.5,0.9,0.6,1,4,1.000909948978798,1.0887088433787815,0.919355027807525,0.6227386084065326,0.505
symmetric,naive,0.5,0.9,0.6,1,5,0.9421030707720776,1.0887088433787815,0.8653397797782955,1.0817823433109628,0.505
symmetric,naive,0.5,0.9,0.6,2,0,0.9247937703800766,1.0887088433787815,0.849440854645767,1.3220361246068166,0.53
symmetric,naive,0.5,0.9,0.6,2,1,0.9518169123186316,1.0887088433787815,0.8742621299600093,1.53273052733773,0.53
symmetric,naive,0.5,0.9,0.6,2,2,0.8591466756706387,1.0887088433787815,0.7891427362749235,0.12510481405108287,0.53
symmetric,naive,0.5,0.9,0.6,2,3,0.9361208644193235,1.0887088433787815,0.8598450082522477,1.3738101413330661,0.53
symmetric,naive,0.5,0.9,0.6,2,4,0.9453378851056828,1.0887088433787815,0.8683110189238931,1.5533909653534956,0.53
symmetric,naive,0.5,0.9,0.6,2,5,1.030701529430853,1.0887088433787815,0.9467191671118385,0.8280155950577263,0.53
symmetric,naive,0.6,0.9,0.6,0,0,1.0463821910015356,1.0887088433787815,0.9611221561809986,0.02444611803226964,0.62
symmetric,naive,0.6,0.9,0.6,0,1,0.9643678489471958,1.0887088433787815,0.8857904065096998,0.03019945154251828,0.62
symmetric,naive,0.6,0.9,0.6,0,2,0.9981372740589016,1.0887088433787815,0.9168082725967457,0.03212466955990207,0.62
symmetric,naive,0.6,0.9,0.6,0,3,0.8567145509638336,1.0887088433787815,0.7869087829809858,0.028568067487761015,0.62
symmetric,naive,0.6,0.9,0.6,0,4,1.065972777323098,1.0887088433787815,0.9791164862911165,0.0330279868484839,0.62
symmetric,naive,0.6,0.9,0.6,0,5,1.0227863189857092,1.0887088433787815,0.9394488941703795,0.03009909544424775,0.62
