true_beta,seed_rep,observer,true_goal,recovered_beta,beta_posterior_entropy,modal_beta_level,modal_goal,correct,final_entropy,psi_analogue,engaged_fraction,cum_deep
0.0,0,79,0,0.2382139111358268,1.2211198373581984,1,3,0,1.1135856784172604,0.6271997450281185,0.0,10
0.0,0,80,0,0.30005794086891174,1.2637705972849411,1,3,0,0.7553277115963979,1.5885918224026705,0.0,10
0.0,0,81,0,0.2461086629100716,1.1888141986026382,1,3,0,1.0346294527069493,0.6649580825625352,0.0,10
0.0,0,82,0,0.23100148918628127,1.1684622810632606,1,1,0,1.1830051454196622,0.8206491938818846,0.0,10
0.0,0,83,0,0.43303011992336915,1.3536259382529119,2,3,0,0.24759590821697913,2.63930861166773,0.0,10
0.0,0,84,0,0.27312826408217755,1.2714799810038593,1,3,0,1.0193413813767738,1.1007590617752707,0.0,10
0.0,0,85,0,0.27137136846277793,1.2369743104326438,1,3,0,0.8790813120296019,0.8597615684665295,0.0,10
0.0,0,86,0,0.5971526288340359,1.3239714039479935,3,2,0,0.025718459256622795,2.945101847046465,0.0,10
0.0,0,87,0,0.24531484926744923,1.2751614855357423,0,3,0,1.2449091188038133,0.29981262020616645,0.0,10
0.0,0,88,0,0.28234197433741376,1.2641841595318035,1,2,0,0.49465348858767366,1.427429318714753,0.0,10
0.0,0,89,0,0.2273870184434709,1.1855566887195281,1,0,1,1.07927004338878,1.0353966833597483,0.0,10
0.0,0,90,0,0.26937427406217573,1.3309356083868382,0,3,0,1.312317319670068,0.18185646071513115,0.0,10
0.0,0,91,0,0.27514098915256496,1.2380835151208265,1,1,0,1.053010194428607,0.6469645422003903,0.0,10
0.0,0,92,0,0.27439032355649595,1.2346114753686939,1,2,0,1.073479281964309,0.544541209121335,0.0,10
0.0,0,93,0,0.28288231302848305,1.3524030089428325,1,1,0,1.2882869845586096,0.4050542594228354,0.0,10
0.0,0,94,0,0.2545409184506958,1.2326282991518478,1,1,0,1.1827346551065303,0.8005967279610505,0.0,10
0.0,0,95,0,0.28503329165731695,1.27896165005418,1,0,1,0.9577408496731215,1.0927498889322762,0.0,10
0.0,0,96,0,0.2556608561422838,1.2134396944226071,1,3,0,0.9725454869200743,1.4112150410629858,0.0,10
0.0,0,97,0,0.22026427965540932,1.1988344102984911,0,0,1,1.362340018212421,0.08554068586447086,0.0,10
0.0,0,98,0,0.23025237453432143,1.1688484702490627,1,0,1,1.001005616762289,1.204716481457903,0.0,10
0.0,0,99,0,0.3608456470952636,1.3115897174556537,1,0,1,0.20210542505019893,2.983108196431587,0.0,10
0.0,0,100,0,0.2638569410846325,1.2325094864063133,1,3,0,0.9352183037002628,1.0154389545069855,0.0,10
0.0,0,101,0,0.4746764811045102,1.3279027682801974,2,3,0,0.33515380277134227,2.0807382073837775,0.0,10
0.0,0,102,0,0.23883557884329276,1.2063927751228538,1,0,1,1.1791676279283039,0.6138112480820598,0.0,10
0.0,0,103,0,0.2591481919737704,1.2229926500814425,1,1,0,1.0288659671231244,0.8925935818804454,0.0,10
0.0,0,104,0,0.2992040344329772,1.3109087250953024,1,2,0,0.654796074703617,1.7186099066227598,0.0,10
0.0,0,105,0,0.3338410741512858,1.2939840515389873,1,1,0,0.8531117841537427,1.6323999576173585,0.0,10
0.0,0,106,0,0.2642829927391843,1.2827135588661478,1,3,0,1.1433549324190182,0.4350289657638648,0.0,10
0.0,0,107,0,0.19634203626734487,1.107739633175539,0,1,0,1.2613668804598914,0.4354356759813145,0.0,10
0.0,0,108,0,0.3453437545723553,1.3435095115783673,1,1,0,0.8771557616913775,1.22935142116407,0.0,10
0.0,0,109,0,0.26011631632830284,1.2540867831136386,1,2,0,0.6407491811492997,1.1972809856267617,0.0,10
0.0,0,110,0,0.2558864578897479,1.233139433393277,1,1,0,1.0252590711096634,0.864127501574905,0.0,10
0.0,0,111,0,0.27189260254427616,1.2728481461019878,1,1,0,1.0360128030928888,0.8505192391969459,0.0,10
0.0,0,112,0,0.2117558751883857,1.1615172579235116,0,2,0,1.2606197464524478,0.2038498073343476,0.0,10
0.0,0,113,0,0.25381328414450005,1.2602979705001178,1,3,0,1.097728910850087,0.8318557350638455,0.0,10
0.0,0,114,0,0.2536663062549798,1.1904597871027314,1,2,0,0.47295514390750576,1.7090363523348406,0.0,10
0.0,0,115,0,0.18841299110937781,1.099609362547302,0,1,0,1.276412012194476,0.2194671269420398,0.0,10
0.0,0,116,0,0.3207947402897364,1.282484003619936,1,3,0,0.8465221440942726,1.138132972876287,0.0,10
0.0,0,117,0,0.25960540950336136,1.2336876779821355,1,0,1,1.0542204032603304,0.8782081838291581,0.0,10
0.0,0,118,0,0.24612812298609885,1.2383992000194592,1,1,0,1.2276713528368652,0.18243516169433094,0.0,10
0.0,0,119,0,0.23608555548257024,1.176868893821865,1,3,0,0.8456550106414702,1.459811208661785,0.0,10
0.0,0,120,0,0.30885707484621583,1.4078209363982566,1,3,0,1.2785448727693283,0.38717313753527716,0.0,10
0.0,0,121,0,0.2803908761734313,1.2615043574755158,1,0,1,0.5477945099372186,2.236744611991563,0.0,10
0.0,0,122,0,0.20772913504488524,1.143180784616645,0,2,0,0.9029746331311648,0.9203034928321822,0.0,10
0.0,0,123,0,0.19627819028459742,1.1175910573806191,0,2,0,1.3575617178938075,0.08067660216777721,0.0,10
0.0,0,124,0,0.1983788337699126,1.1278770735629344,0,3,0,1.3314843791055904,0.17929870317111665,0.0,10
0.0,0,125,0,0.20989466182726838,1.138052733155547,1,0,1,1.2185635759626126,0.36383513821242436,0.0,10
0.0,0,126,0,0.3079017704849095,1.2938053360633264,1,2,0,0.8729983024134056,1.0218628763135738,0.0,10
0.0,0,127,0,0.23036300739633978,1.1910802031982668,1,1,0,1.0683350308859059,0.9784660490920477,0.0,10
0.0,0,128,0,0.297830183159231,1.2798270032256347,1,2,0,0.9206737344782439,0.957329221611693,0.0,10
0.0,0,129,0,0.34905166693596124,1.3455165617719849,1,1,0,0.827906752284189,1.5856182419950149,0.0,10
0.0,0,130,0,0.3601913095852786,1.309727318237489,1,2,0,0.3571595837218071,1.7481199287246516,0.0,10
0.0,0,131,0,0.39470538978514813,1.3104826193908035,2,1,0,0.20034866910839316,3.3309413058610735,0.0,10
0.0,0,132,0,0.2594854411043054,1.250746299988293,1,0,1,1.0526875806961993,0.4873860508902022,0.0,10
0.0,0,133,0,0.3281764103908724,1.3787317152335852,1,0,1,0.8878810229036991,0.584529520306428,0.0,10
0.0,0,134,0,0.25258846927009665,1.239694922882906,1,0,1,1.1696467812479798,0.41215664657014245,0.0,10
0.0,0,135,0,0.20552143660780167,1.1322044793723567,0,1,0,1.1763349960676959,0.5153769021922874,0.0,10
0.0,0,136,0,0.25803641601896776,1.2479670014744955,1,1,0,1.1288545267995205,0.5496633501392382,0.0,10
0.0,0,137,0,0.26497923651777494,1.2379250826419652,1,1,0,1.055533476723853,0.8611320785712541,0.0,10
0.0,0,138,0,0.23360377522045198,1.2055870521217142,1,3,0,1.1849163479468638,0.2529948488256407,0.0,10
0.0,0,139,0,0.24185271433606745,1.214489302375815,1,0,1,1.1963482801848686,0.4864916751915215,0.0,10
0.0,0,140,0,0.4115954160588046,1.3085610683822062,2,0,1,0.09848245546116871,2.5457917510979535,0.0,10
0.0,0,141,0,0.1770841392034756,1.0684987366954075,0,0,1,0.45812697741495645,1.735331813943685,0.0,10
0.0,0,142,0,0.29165044241119215,1.3589866681794702,1,1,0,1.2279857636427662,0.2652630246659606,0.0,10
0.0,0,143,0,0.22775045765322458,1.1904899800464246,1,2,0,1.1809876973543953,0.31635605428825914,0.0,10
0.0,0,144,0,0.26612366217243294,1.2140070994960743,1,0,1,0.3048878683281613,1.4911825219429864,0.0,10
0.0,0,145,0,0.2372948661748354,1.203200938683177,1,1,0,1.1515910197002777,0.5790611589657875,0.0,10
0.0,0,146,0,0.3220931457926812,1.294922602938207,1,0,1,0.7819828651525128,0.9346981901995023,0.0,10
0.0,0,147,0,0.21545955810439515,1.1628171965138845,1,1,0,1.2432793381090788,0.465567372213057,0.0,10
0.0,0,148,0,0.33058845709551643,1.275476937212187,1,2,0,0.33943967556253163,2.5905261207015133,0.0,10
0.0,0,149,0,0.5431094998085801,1.4072755687470357,2,0,1,0.029079457196958786,2.618470558876155,0.0,10
0.0,0,150,0,0.21435211842580146,1.1643298560896607,0,0,1,1.2265356476820826,0.10175081375767422,0.0,10
0.0,0,151,0,0.260929139501689,1.2147362976587082,1,0,1,1.0973531223906656,0.8110943528014544,0.0,10
0.0,0,152,0,0.25437927704335633,1.2369335052763595,1,0,1,1.1386504940034117,0.5044509857641923,0.0,10
0.0,0,153,0,0.1979527709871005,1.1214368914799988,0,2,0,1.3215190661230765,0.08647876120371693,0.0,10
0.0,0,154,0,0.25260955696199777,1.2784358231274113,0,1,0,1.3154269618732268,0.14367513218425165,0.0,10
0.0,0,155,0,0.2583735074710814,1.2318493446277459,1,3,0,0.9573553007332414,1.2389093849907373,0.0,10
0.0,0,156,0,0.21247504732390946,1.1621829482080153,0,1,0,1.1693092154906022,0.3077623953994747,0.0,10
0.0,0,157,0,0.3685711211651849,1.3803282981723402,1,0,1,0.6357438519428029,2.0995039849082753,0.0,10
0.0,0,158,0,0.252202478614583,1.2258714697797215,1,2,0,0.7614719162647252,1.0854328297725915,0.0,10
0.0,0,159,0,0.19031272094182902,1.1092754327506418,0,1,0,1.369248658782879,0.08952368162686487,0.0,10
0.0,0,160,0,0.20447661336619177,1.134314698643685,0,0,1,0.8846786141437873,1.0914814845712153,0.0,10
0.0,0,161,0,0.25803990910184077,1.2182541161410871,1,2,0,1.0607104208734974,0.93968490284333,0.0,10
0.0,0,162,0,0.35439813516596674,1.32032983203706,1,2,0,0.7913040843403218,1.3115079871574853,0.0,10
0.0,0,163,0,0.20908023502998166,1.1557288258580807,0,0,1,1.3346808335212867,0.21986509301380502,0.0,10
0.0,0,164,0,0.439284385332956,1.3378051197611,2,1,0,0.1399096357268699,3.219930020704071,0.0,10
0.0,0,165,0,0.30050129567838496,1.2908189506217773,1,3,0,0.7659400166251314,1.6762855581879408,0.0,10
0.0,0,166,0,0.20416730223626248,1.1397571665430863,0,0,1,1.1093053942293312,0.885530091307657,0.0,10
0.0,0,167,0,0.20459617677847164,1.13274175149532,0,3,0,0.4453235761234976,2.4311644521991584,0.0,10
0.0,0,168,0,0.36035064444574516,1.4671024292279287,1,1,0,0.9928909427464965,0.8835582518038589,0.0,10
0.0,0,169,0,0.2110609902486306,1.1604565132628017,0,0,1,1.3091743730291205,0.14598184093637231,0.0,10
0.0,0,170,0,0.2139362426547342,1.1780332365978354,0,1,0,1.3508514960180866,0.014177887244458065,0.0,10
0.0,0,171,0,0.22297969242888335,1.1807617343379668,1,2,0,1.2293946829553075,0.5772176648023858,0.0,10
0.0,0,172,0,0.33153003850436336,1.362858258515837,1,3,0,0.7627541367311189,1.1873032905613263,0.0,10
0.0,0,173,0,0.22111386794490615,1.166235818857185,1,1,0,1.107826743743848,0.4514483516904083,0.0,10
0.0,0,174,0,0.24378178070635684,1.2202991968801928,1,3,0,1.1101457877908512,0.8812359494843054,0.0,10
0.0,0,175,0,0.4168798166122249,1.4102675987298479,2,0,1,0.7060631374043393,1.1521785691991524,0.0,10
0.0,0,176,0,0.322475025910073,1.2749539740169247,1,0,1,0.790042132719415,1.6542119713885926,0.0,10
0.0,0,177,0,0.25222232372928577,1.2128455856370937,1,1,0,1.0592845228509027,0.5559088658445366,0.0,10
0.0,0,178,0,0.25429304410461423,1.2326875986993122,1,1,0,1.0831158941522658,0.7910395317794151,0.0,10
0.0,0,179,0,0.2791484915370341,1.25437556239463,1,2,0,0.9672586755275541,0.7717395176494326,0.0,10
0.0,0,180,0,0.29137846249826316,1.2849956561259352,1,1,0,0.8879301158151761,0.9384590051548631,0.0,10
0.0,0,181,0,0.2238599930154924,1.1827568402784137,1,3,0,1.2355136345795195,0.5094982538152,0.0,10
0.0,0,182,0,0.3418121602199401,1.3300573377361158,1,2,0,0.593128963435524,2.2127219621300505,0.0,10
0.0,0,183,0,0.2705382759191543,1.2522430563604507,1,0,1,0.9410081359489657,0.9776304552311761,0.0,10
