arm,p_divergence,seed_rep,observer,latent,declared,diverged,latent_correct,declared_correct,self_report_correct,recovered_mu,mu_entropy,subgoal_entropy,final_entropy,artifact_trace_kl
human_unaware,0.0,0,89,0,0,0,1,1,1,1.9693806454121083,1.0976838861806855,1.385748723759519,1.0040561069144087,0.47930958094068843
human_unaware,0.0,0,90,0,0,0,1,1,1,1.9817320818417992,1.0982805492453755,1.3860990388085337,0.3883043370705235,0.47930958094068843
human_unaware,0.0,0,91,0,0,0,1,1,1,1.9730161218770899,1.0978904500372808,1.385708863888721,1.0284299872871319,0.47930958094068843
human_unaware,0.0,0,92,0,0,0,1,1,1,1.9618335357027203,1.097173119147663,1.3857357604784049,0.9082599041140114,0.47930958094068843
human_unaware,0.0,0,93,0,0,0,1,1,1,1.9744915088090453,1.0979669317039795,1.3859602198511627,1.06299455549444,0.47930958094068843
human_unaware,0.0,0,94,0,0,0,1,1,1,1.9788258723101402,1.0981670109713404,1.3860733871680868,0.41793756259261833,0.47930958094068843
human_unaware,0.0,0,95,0,0,0,1,1,1,1.9766126154024701,1.098069436768035,1.3859393066275216,1.0915478555938853,0.47930958094068843
human_unaware,0.0,0,96,0,0,0,1,1,1,1.98129537978667,1.0982645471132984,1.385952404021084,0.38639181150209595,0.47930958094068843
human_unaware,0.0,0,97,0,0,0,1,1,1,1.949457664633698,1.096097688929774,1.3852265509474828,0.703131286389821,0.47930958094068843
human_unaware,0.0,0,98,0,0,0,1,1,1,1.9549873647536717,1.0966145859577714,1.3852524940984108,0.6710948564188924,0.47930958094068843
human_unaware,0.0,0,99,0,0,0,1,1,1,1.9659645137356543,1.0974663675260943,1.3854905848599106,0.5609987380545838,0.47930958094068843
human_unaware,0.0,1,0,2,2,0,1,1,1,1.9627376842301163,1.0972401245984966,1.3767443973123408,0.9375259536111569,0.2133397835999208
human_unaware,0.0,1,1,2,2,0,1,1,1,1.9748081458320894,1.0979827918309506,1.38111115395309,1.140722109531302,0.2133397835999208
human_unaware,0.0,1,2,2,2,0,1,1,1,1.9763450107682359,1.09805698929535,1.3811708339961155,1.1524213580916463,0.2133397835999208
human_unaware,0.0,1,3,2,2,0,1,1,1,1.9790042671498724,1.0981744578061776,1.3835690808357708,1.2102828261968472,0.2133397835999208
human_unaware,0.0,1,4,2,2,0,1,1,1,1.978127859544566,1.098137273944364,1.3618009919664595,0.4302600671140905,0.2133397835999208
human_unaware,0.0,1,5,2,2,0,1,1,1,1.9575680207536377,1.096835725558058,1.3725745129162745,0.86010575401432,0.2133397835999208
human_unaware,0.0,1,6,2,2,0,0,0,1,1.9765676718029972,1.0980673560309073,1.385759196607043,0.47071644023783527,0.2133397835999208
human_unaware,0.0,1,7,2,2,0,1,1,1,1.9413169669181944,1.0952303432015458,1.3711312090086225,0.6969224570072536,0.2133397835999208
human_unaware,0.0,1,8,2,2,0,1,1,1,1.9463023622686935,1.095776513342252,1.3716140941816084,0.654683112479402,0.2133397835999208
human_unaware,0.0,1,9,2,2,0,1,1,1,1.979749573671511,1.0982048945691103,1.3607063319776358,0.4363977405435218,0.2133397835999208
human_unaware,0.0,1,10,2,2,0,1,1,1,1.9788146332244256,1.0981665397228877,1.380029737806749,1.1329484414149427,0.2133397835999208
human_unaware,0.0,1,11,2,2,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3780222761904812,0.2133397835999208
human_unaware,0.0,1,12,2,2,0,1,1,1,1.9753124659169683,1.0980076484969288,1.3562423051424395,0.5243842721102614,0.2133397835999208
human_unaware,0.0,1,13,2,2,0,1,1,1,1.9822987725399834,1.0983007557680748,1.3606464216836858,0.3547970601799244,0.2133397835999208
human_unaware,0.0,1,14,2,2,0,1,1,1,1.9560794740512364,1.0967097333538929,1.3678135022254576,0.624182084224002,0.2133397835999208
human_unaware,0.0,1,15,2,2,0,1,1,1,1.9690868526755918,1.0976660699857503,1.3755190197061382,1.0379823898862273,0.2133397835999208
human_unaware,0.0,1,16,2,2,0,1,1,1,1.9608014993273866,1.0970947059671219,1.3675444473558636,0.5292286015311684,0.2133397835999208
human_unaware,0.0,1,17,2,2,0,1,1,1,1.9687003588596395,1.097642376697586,1.3764560113949136,0.9526637516388802,0.2133397835999208
human_unaware,0.0,1,18,2,2,0,1,1,1,1.9668858849399915,1.097527265531408,1.3761570763208502,1.0036954501605335,0.2133397835999208
human_unaware,0.0,1,19,2,2,0,1,1,1,1.9464773177718344,1.0957948199113177,1.3705762717224872,0.7093833399171959,0.2133397835999208
human_unaware,0.0,1,20,2,2,0,1,1,1,2.0,1.0986122886681096,1.3862943611198906,1.36196627973923,0.2133397835999208
human_unaware,0.0,1,21,2,2,0,1,1,1,1.9637829937918623,1.0973156214049333,1.3625853968830106,0.6058114129841499,0.2133397835999208
human_unaware,0.0,1,22,2,2,0,1,1,1,1.9710381879333048,1.0977812576931885,1.379265357838838,1.0623176688158296,0.2133397835999208
human_unaware,0.0,1,23,2,2,0,1,1,1,1.9504667178501192,1.0961963823538208,1.3750211577771183,0.8014373939817301,0.2133397835999208
human_unaware,0.0,1,24,2,2,0,1,1,1,1.985059375972188,1.0983901535651406,1.3593995670693626,0.35959053301662064,0.2133397835999208
human_unaware,0.0,1,25,2,2,0,1,1,1,1.9567786824865154,1.0967694460729647,1.3690133523459391,0.5809173997013612,0.2133397835999208
human_unaware,0.0,1,26,2,2,0,1,1,1,1.9666240290594166,1.0975101256365454,1.365278635173678,0.5683733349915604,0.2133397835999208
human_unaware,0.0,1,27,2,2,0,1,1,1,1.982398930291861,1.0983042614393184,1.3602542095389465,0.36785295941039,0.2133397835999208
human_unaware,0.0,1,28,2,2,0,1,1,1,2.0,1.0986122886681096,1.3862943611198906,1.3574935678260145,0.2133397835999208
human_unaware,0.0,1,29,2,2,0,1,1,1,1.9673296520907475,1.0975560087546958,1.3635988587454584,0.501193485768653,0.2133397835999208
human_unaware,0.0,1,30,2,2,0,0,0,1,1.9818514221542056,1.0982848570442227,1.3858857196605656,0.44204948708739455,0.2133397835999208
