arm,true_mu,delta,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,subgoal_entropy,correct,final_entropy,psi_analogue,psi_structure,engaged_fraction,cum_deep,separation_enforced
sustained,1,1.0,0,130,0,1.728355073888782,1.0423975437449837,1.3787188045445968,1,3.1305900746533124e-15,3.479768063330598,3.4972114269406953,,24,True
sustained,1,1.0,0,131,0,1.2106230391305866,0.5103821957486843,1.3770757925680492,1,6.616054489039424e-14,3.095367407143615,3.1165939456433347,,24,True
sustained,1,1.0,0,132,0,1.499484185029115,0.8678507738056993,1.3673177455224612,1,4.008085326720245e-15,2.6225285033509094,2.666223775519453,,24,True
sustained,1,1.0,0,133,0,1.389119952761328,0.749789428267106,1.374684120385194,1,1.1400644372744002e-14,2.253760297314509,2.2804938645379096,,24,True
sustained,1,1.0,0,134,0,1.0380196183231913,0.14631878865985795,1.386100156699616,1,4.508155447408546e-15,3.1041136939101497,3.104560866086672,,24,True
sustained,1,1.0,0,135,0,1.3865938726784317,0.7475075702049829,1.377301315461767,1,2.957798389563221e-14,3.042193595528656,3.0629008483757767,,24,True
sustained,1,1.0,0,136,0,2.351778675985916,0.9364394762927676,1.3290691906941705,1,3.659503909622662e-15,3.4402082851951943,3.5719741095307267,,24,True
sustained,1,1.0,0,137,0,1.8745613902640057,1.0847676076709794,1.3237211289773279,1,3.229038337959345e-15,3.742278816459808,3.886359007976641,,24,True
sustained,1,1.0,0,138,0,1.505737485488865,0.8846503307194167,1.3656742157574417,1,1.316621941889103e-13,3.3659043589076267,3.4133839982047736,,24,True
sustained,1,1.0,0,139,0,1.707171870963275,0.983923590905198,1.3698967865691412,1,8.676881749677519e-15,3.7611922259465493,3.7989490366329854,,24,True
sustained,1,1.0,0,140,0,1.709229800946388,1.0187570499199328,1.379287279904234,1,1.3012553297603444e-13,2.766373735716694,2.7825081364462965,,24,True
sustained,1,1.0,0,141,0,1.3967534787617324,0.7393951537346108,1.3757763976656658,1,7.229708632655255e-15,2.7355618988439043,2.7597804046795953,,24,True
sustained,1,1.0,0,142,0,2.001858152504147,1.0972927985305263,1.3672166213134878,1,9.150784757858017e-15,3.5535556169382274,3.597483736192142,,24,True
sustained,1,1.0,0,143,0,1.9038326058588502,1.0909815850421036,1.3330724547936135,1,3.172377572330871e-15,3.3196262092846998,3.4421741773831065,,24,True
sustained,1,1.0,0,144,0,1.4425122475847536,0.80903225429182,1.3671711048122723,1,3.691101047371862e-15,2.0899261726189398,2.1339590975052447,,24,True
sustained,1,1.0,0,145,0,2.294058590827011,0.9360582134143159,1.1967135715551873,1,4.17236011293072e-15,3.400555151465259,3.837081051404736,,24,True
sustained,1,1.0,0,146,0,1.7047832716710642,0.9971599722991724,1.3684817876450228,1,5.993674354781466e-15,2.3486223850903927,2.3896373512223277,,24,True
sustained,1,1.0,0,147,0,1.326067383127229,0.6565704987519674,1.3827123868863,1,3.700572032488702e-15,2.541391016636404,2.54963881708933,,24,True
sustained,1,1.0,0,148,0,1.8690621058205306,1.0837579175147307,1.3368848433429896,1,4.467818170440548e-15,3.0636495976371014,3.1774192166960846,,24,True
sustained,1,1.0,0,149,0,1.5888233721567615,0.9575644728298345,1.3679770654651051,1,3.596321128241595e-15,2.6829816815869725,2.7251588134834956,,24,True
sustained,1,1.0,0,150,0,1.672114508572634,1.001290739492386,1.3409888733357684,1,3.5440278338645816e-15,2.347090858037561,2.4514105988209605,,24,True
sustained,1,1.0,0,151,0,1.6621666075542751,0.9179573378550557,1.1767567768643872,1,3.2589166679617115e-15,3.2194137902670024,3.701891908167749,,24,True
sustained,1,1.0,0,152,0,1.4140950147929017,0.778057711154386,1.3728957962396677,1,3.847263417199163e-15,2.972996066803431,3.003847402539023,,24,True
sustained,1,1.0,0,153,0,1.6273070496456237,0.7983157412621565,1.2873086309574198,1,1.2751568124445251e-12,3.6619019224769356,3.8898249891343015,,24,True
sustained,1,1.0,0,154,0,1.8180531362651307,1.0728753346384081,1.301532084694256,1,3.813022877749251e-15,3.0814143791262905,3.2765867332458627,,24,True
sustained,1,1.0,0,155,0,1.1170817351104902,0.3103847672269225,1.3855873429140726,1,3.581290291763287e-15,3.569987628150828,3.5716155976994606,,24,True
sustained,1,1.0,0,156,0,1.3989031253378539,0.7581570808724531,1.378552662357725,1,9.216327850681192e-15,3.7302709739138264,3.7480968940431336,,24,True
sustained,1,1.0,0,157,0,1.6449224686536135,0.9882537504848079,1.373747838760563,1,3.411553400328765e-15,3.77745366020305,3.8063430955209245,,24,True
sustained,1,1.0,0,158,0,1.068044347049276,0.2150095387558365,1.3860634813724302,1,1.0030395740304824e-14,3.636979210382463,3.637510830613719,,24,True
