kappa,signing_rate,contamination,seed_rep,observer,exposure,ghost_col_err,creator_mi,oracle_mi,mi_ratio,ghost_col_entropy,time_to_competence
0.1,0.0,0.3,1,1,200,3.2850386058089467,0.8420011997851027,1.0887088433787815,0.7733942871006471,1.0491572137207927,
0.1,0.0,0.3,1,1,300,3.292651372767308,0.8757238192199598,1.0887088433787815,0.8043691612738004,1.0019689780495327,
0.1,0.0,0.3,1,1,400,3.235916956028118,0.8545954200793876,1.0887088433787815,0.7849623205293084,1.0085387722268768,
0.1,0.0,0.3,1,1,500,3.172598333019107,0.8326757471600608,1.0887088433787815,0.7648286796090237,1.006818074316656,
0.1,0.0,0.3,1,1,600,3.1633577257386563,0.830234247541566,1.0887088433787815,0.7625861152784928,0.9977682291098658,
0.1,0.0,0.3,1,1,-1,3.1633577257386563,0.830234247541566,1.0887088433787815,0.7625861152784928,0.9977682291098658,600.0
0.1,0.0,0.3,1,2,100,3.863115455285892,0.6671579463921289,1.0887088433787815,0.6127973979908351,1.1322064637832647,
0.1,0.0,0.3,1,2,200,4.256040539498031,0.6288125750846689,1.0887088433787815,0.5775764373633306,1.1624255586646066,
0.1,0.0,0.3,1,2,300,4.318138474144651,0.6104209830414105,1.0887088433787815,0.560683406545118,1.145889540178757,
0.1,0.0,0.3,1,2,400,4.371573365897833,0.6024225567787485,1.0887088433787815,0.5533366982756791,1.1333223314060463,
0.1,0.0,0.3,1,2,500,4.4232645338603875,0.5865376828749359,1.0887088433787815,0.5387461362531331,1.1214538714074989,
0.1,0.0,0.3,1,2,600,4.4865063725501475,0.5806536760659121,1.0887088433787815,0.5333415628956109,1.1133953462371902,
0.1,0.0,0.3,1,2,-1,4.4865063725501475,0.5806536760659121,1.0887088433787815,0.5333415628956109,1.1133953462371902,600.0
0.1,0.0,0.3,1,3,100,4.002528860629338,0.8308914857571131,1.0887088433787815,0.7631898012130236,1.024056531721952,
0.1,0.0,0.3,1,3,200,3.874000827684629,0.7734116052329778,1.0887088433787815,0.710393426063036,1.0647952128170637,
0.1,0.0,0.3,1,3,300,3.8995562905041217,0.7871670872722494,1.0887088433787815,0.723028100726449,1.0254402738939248,
0.1,0.0,0.3,1,3,400,3.876338749225972,0.7875643059734905,1.0887088433787815,0.723392953738948,1.0073596886585072,
0.1,0.0,0.3,1,3,500,3.9214441630944163,0.7897685010583947,1.0887088433787815,0.7254175492938657,0.9946729798540668,
0.1,0.0,0.3,1,3,600,3.931414362104994,0.7880817068587258,1.0887088433787815,0.7238681963976092,1.0002516194152822,
