contamination,signal,seed_rep,generation,mean_expertise,mi_genuine,kl_payload,mean_deep_genuine,creator_col_kl,eff_sample_count,n_artifacts,n_observers,population_average_seed,kl,regret,regret_norm,argmax_preserved,sycophancy,entropy_recovered
0.3,absent,1,3,1.0,0.21216052170444472,0.06942240027193262,1.6676470588235297,2.334559662314984,32.45858751758873,300,5,False,0.06942240027193262,1.1865164791447835,0.03955054930482611,1,1.0,1.3604775328471872
0.3,absent,2,0,1.0,0.5636921473963791,0.036760790169473825,2.035406698564593,1.2809529292400361,46.26968615382005,300,5,False,0.036760790169473825,0.08590367595205373,0.002863455865068457,1,0.21,1.3077706512470864
0.3,absent,2,1,1.0,0.2522691049460479,0.04736213565871922,2.128358208955224,1.87871650991729,41.45713495375516,300,5,False,0.04736213565871922,1.283219655753992,0.04277398852513306,1,1.0,1.350913636944653
0.3,absent,2,2,1.0,0.2296662881933437,0.10176695855649884,1.9881188118811886,2.32787297249207,39.61534237228667,300,5,False,0.10176695855649884,1.7641577563476452,0.058805258544921496,1,1.0,1.3507289317502846
0.3,absent,2,3,1.0,0.2074661556811524,0.07774618498106453,0.9388349514563107,2.3289848218034472,17.609753613453332,300,5,False,0.07774618498106453,3.117012176475903,0.10390040588253008,1,1.0,1.3696196349301903
0.3,honest,0,0,1.0,0.7342407229934742,0.04001220292536144,2.043192488262911,0.7762943106966778,108.71280948439161,300,5,False,0.04001220292536144,5.988227675329394,0.19960758917764643,0,1.0,1.3476908930548124
0.3,honest,0,1,1.0,0.6411943919710948,0.0330487212246463,2.219626168224299,0.8125756672873472,118.65092381140816,300,5,False,0.0330487212246463,8.242856487011812,0.2747618829003937,0,0.68,1.34221787382427
0.3,honest,0,2,1.0,0.5804270063985882,0.0419125191757618,2.516129032258065,0.851796813271694,136.39995096902265,300,5,False,0.0419125191757618,5.366217581845357,0.17887391939484518,0,1.0,1.3518979100743733
0.3,honest,0,3,1.0,0.5740325653483053,0.030611169691084246,2.468965517241379,0.7243458054201817,125.23347867127877,300,5,False,0.030611169691084246,5.661582572351664,0.1887194190783888,0,1.0,1.3466648141677584
0.3,honest,1,0,1.0,0.7924433541034075,0.03538469674026162,1.9742857142857144,0.5714966807365075,103.50364100187153,300,5,False,0.03538469674026162,2.206665558667126,0.07355551862223751,1,1.0,1.3582913977829265
0.3,honest,1,1,1.0,0.6605424405243517,0.060621348133723524,2.270142180094787,0.6610924588834106,119.65492457665542,300,5,False,0.060621348133723524,3.4119886345682082,0.11373295448560693,1,1.0,1.3730034664305983
0.3,honest,1,2,1.0,0.6981668852156032,0.07189282336053957,2.1859296482412063,0.4938760355716447,108.68619825850385,300,5,False,0.07189282336053957,5.431613691008852,0.18105378970029504,1,1.0,1.3680200807306016
0.3,honest,1,3,1.0,0.8245976529476019,0.044201797011242314,1.9407766990291262,0.6179248288782451,99.85314069021521,300,5,False,0.044201797011242314,3.0962316027076717,0.10320772009025572,1,1.0,1.3657061460459583
0.3,honest,2,0,1.0,0.892367379014045,0.020553437609257548,1.8972972972972975,0.4464293817914207,105.23081541876175,300,5,False,0.020553437609257548,2.368209108085839,0.07894030360286129,1,0.665,1.348708540295639
0.3,honest,2,1,1.0,0.7972333463198,0.048714315427447544,1.861682242990654,0.7119404196525012,99.52659918256595,300,5,False,0.048714315427447544,5.093058202800127,0.16976860676000421,1,1.0,1.371653120068645
