half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,1,3,400,191.51376104578097,0.42286614682305723,0.004159192241540832,1.9175,,
starvation,starvation_only,0.0,1,4,25,11.990875143134412,0.26230599594419074,0.0494827664344418,1.92,,
starvation,starvation_only,0.0,1,4,50,23.73101263597979,0.2796167892913044,0.032244891060658365,1.9,,
starvation,starvation_only,0.0,1,4,75,32.47251949146055,0.2801029104722949,0.019014377152656033,1.7333333333333334,,
starvation,starvation_only,0.0,1,4,100,43.71570328920433,0.35217330073027087,0.013542855780175595,1.75,,
starvation,starvation_only,0.0,1,4,125,55.4598169254797,0.41204551686045304,0.01058045486029356,1.776,,
starvation,starvation_only,0.0,1,4,150,66.70315532643325,0.43068221266827983,0.008848923382245093,1.78,,
starvation,starvation_only,0.0,1,4,175,77.9443074821886,0.4362089409621745,0.006872331120956972,1.782857142857143,,
starvation,starvation_only,0.0,1,4,200,88.93149359225825,0.4297302092102709,0.007941727925728961,1.78,,
starvation,starvation_only,0.0,1,4,225,98.92386283567734,0.44597611907505375,0.002804865740613398,1.76,,
starvation,starvation_only,0.0,1,4,250,108.91518891126809,0.4349589269022845,0.005065322617168739,1.744,,
starvation,starvation_only,0.0,1,4,275,119.40802455485695,0.44935754968868696,0.0033238714402479275,1.7381818181818183,,
starvation,starvation_only,0.0,1,4,300,129.14957181662726,0.4583797040081703,0.0048777862114061194,1.7233333333333334,,
starvation,starvation_only,0.0,1,4,325,140.14482754271947,0.4911836309425369,0.0031535801202388215,1.7261538461538461,,
starvation,starvation_only,0.0,1,4,350,149.6358838450422,0.48534497831165047,0.00325425711137971,1.7114285714285715,,
starvation,starvation_only,0.0,1,4,375,159.6280207263131,0.4887838444757788,0.0033955599673212472,1.704,,
starvation,starvation_only,0.0,1,4,400,171.12270107527468,0.503348057116387,0.002426791011928424,1.7125,,
starvation,starvation_only,0.0,1,5,25,11.488590301249676,0.1966617344661943,0.053578376339256974,1.84,,
starvation,starvation_only,0.0,1,5,50,23.23019845986024,0.2549696759005139,0.045586490252873785,1.86,,
starvation,starvation_only,0.0,1,5,75,34.72156780643431,0.2183070329326431,0.025254042698547856,1.8533333333333333,,
starvation,starvation_only,0.0,1,5,100,48.67669493052069,0.2717375764918751,0.014457772009383647,1.95,,
starvation,starvation_only,0.0,1,5,125,62.89630081089268,0.36818771240645054,0.013057804576737296,2.016,,
starvation,starvation_only,0.0,1,5,150,75.88809743094757,0.3822306903862022,0.008220811518370992,2.026666666666667,,
starvation,starvation_only,0.0,1,5,175,89.38113892659489,0.4122410853077597,0.004347941937555257,2.045714285714286,,
starvation,starvation_only,0.0,1,5,200,101.62302483602461,0.4095085966780109,0.006287477050259113,2.035,,
starvation,starvation_only,0.0,1,5,225,115.36589166610851,0.42847862309634066,0.006970625466450611,2.0533333333333332,,
starvation,starvation_only,0.0,1,5,250,127.85657167012477,0.4276898415774645,0.0034539161187896483,2.048,,
starvation,starvation_only,0.0,1,5,275,141.84854784171972,0.43998440368374014,0.006150285400559132,2.0654545454545454,,
starvation,starvation_only,0.0,1,5,300,155.34134058064706,0.4603663341251,0.004529966923005845,2.0733333333333333,,
starvation,starvation_only,0.0,1,5,325,169.83585467839046,0.49692839057009935,0.005058947515164555,2.0923076923076924,,
starvation,starvation_only,0.0,1,5,350,184.0774097201417,0.490782828068412,0.004114873753658873,2.105714285714286,,
starvation,starvation_only,0.0,1,5,375,198.81925010181772,0.5116567162782615,0.0050410096627843855,2.1226666666666665,,
starvation,starvation_only,0.0,1,5,400,214.81400684902246,0.5339282071507498,0.003299180936735574,2.15,,
starvation,starvation_only,0.0,1,6,25,10.738737162203693,0.3270340048114895,0.05965123777631472,1.72,,
starvation,starvation_only,0.0,1,6,50,22.973977121005827,0.573903024728995,0.03729853634586553,1.84,,
starvation,starvation_only,0.0,1,6,75,31.711958099575607,0.47772857203895525,0.014030399195009542,1.6933333333333334,,
starvation,starvation_only,0.0,1,6,100,43.20412429062294,0.5408860877759737,0.016164246617692318,1.73,,
starvation,starvation_only,0.0,1,6,125,53.69589094468013,0.5528898234442069,0.009107342004670805,1.72,,
starvation,starvation_only,0.0,1,6,150,62.18794618312478,0.5349404459996947,0.012120216170149658,1.66,,
starvation,starvation_only,0.0,1,6,175,72.13038633169758,0.545199883956033,0.006025475809728553,1.6514285714285715,,
starvation,starvation_only,0.0,1,6,200,83.8694945275281,0.5267749380138387,0.004197107393309829,1.68,,
