omega,seed_rep,observer,foreign_goal,matches_foreign_goal,modal_goal,final_entropy,engaged_fraction,cum_deep
0.0,1,26,2,0,1,1.3707114549292503,0.0,10
0.0,1,27,2,1,2,1.3722050226662073,0.0,10
0.0,1,28,2,1,2,1.3574935678260143,0.0,10
0.0,1,29,2,0,3,1.370628634981899,0.0,10
0.0,1,30,2,0,1,1.3829253328895748,0.0,10
0.0,1,31,2,0,0,1.3851880653746507,0.0,10
0.0,1,32,2,0,0,1.3676042373357538,0.0,10
0.0,1,33,2,0,1,1.3762235934088929,0.0,10
0.0,1,34,2,1,2,1.3839116881993847,0.0,10
0.0,1,35,2,1,2,1.3729853965383068,0.0,10
0.0,1,36,2,0,0,1.359712430727898,0.0,10
0.0,1,37,2,0,0,1.2596944251985764,0.0,10
0.0,1,38,2,0,0,1.384862879173142,0.0,10
0.0,1,39,2,0,0,1.3770846596534536,0.0,10
0.0,1,40,2,0,1,1.3832627727615803,0.0,10
0.0,1,41,2,1,2,1.381860828972493,0.0,10
0.0,1,42,2,0,0,1.370368820352175,0.0,10
0.0,1,43,2,0,3,1.3544508060030147,0.0,10
0.0,1,44,2,0,1,1.3636852638889223,0.0,10
0.0,1,45,2,1,2,1.374672863612286,0.0,10
0.0,1,46,2,0,1,1.366420586647248,0.0,10
0.0,1,47,2,0,0,1.3542082334808463,0.0,10
0.0,1,48,2,0,0,1.3237209673462969,0.0,10
0.0,1,49,2,0,1,1.3782699761373294,0.0,10
0.0,1,50,2,1,2,1.3574884060009813,0.0,10
0.0,1,51,2,1,2,1.369970906055603,0.0,10
0.0,1,52,2,0,1,1.3741385355201345,0.0,10
0.0,1,53,2,0,1,1.3748247942909395,0.0,10
0.0,1,54,2,0,3,1.3669083798016342,0.0,10
0.0,1,55,2,0,3,1.3644270278117248,0.0,10
0.0,1,56,2,0,0,1.3569854176823035,0.0,10
0.0,1,57,2,0,1,1.370179699781456,0.0,10
0.0,1,58,2,0,1,1.369809807817419,0.0,10
0.0,1,59,2,0,3,1.3810461059295518,0.0,10
0.0,1,60,2,0,1,1.3782249045209864,0.0,10
0.0,1,61,2,0,3,1.3377993167508024,0.0,10
0.0,1,62,2,0,3,1.333118360326701,0.0,10
0.0,1,63,2,1,2,1.3502930516237432,0.0,10
0.0,1,64,2,1,2,1.3626245032884408,0.0,10
0.0,1,65,2,0,3,1.1774650982565587,0.0,10
0.0,1,66,2,0,3,1.359181890837317,0.0,10
0.0,1,67,2,0,1,1.3549031864283156,0.0,10
0.0,1,68,2,0,3,1.3728679333219231,0.0,10
0.0,1,69,2,0,1,1.357450400363409,0.0,10
0.0,1,70,2,1,2,1.384395200614318,0.0,10
0.0,1,71,2,1,2,1.3782721102205837,0.0,10
0.0,1,72,2,1,2,1.379258016027637,0.0,10
0.0,1,73,2,1,2,1.3656651875399364,0.0,10
0.0,1,74,2,0,1,1.368032817622286,0.0,10
