true_beta,true_mu,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,goal_correct,goal_entropy,subgoal_entropy,realised_blocks
1.0,1,1,38,3,1.1870466692183903,0.476660584253186,1,7.257801717300382e-13,1.3857104796922233,3
1.0,1,1,39,3,1.6379795250701197,0.9900854844899287,1,4.207414785486239e-15,1.3682441889992107,3
1.0,1,1,40,3,1.5024151568955704,0.8892363288631737,1,3.470570698848411e-15,1.3708980120071825,3
1.0,1,1,41,3,1.1828594164626776,0.472004198098266,1,3.3160235507738847e-15,1.3840803140779472,3
1.0,1,1,42,3,1.3263765180176883,0.689736953794676,1,3.469858463041873e-15,1.3745472842502415,3
1.0,1,1,43,3,1.6336042575768976,0.9934257382408099,1,3.1835468730785676e-15,1.338629636492839,3
1.0,1,1,44,3,1.747821676339183,1.0472772639344852,1,6.196711975463396e-10,1.3365652773125594,3
1.0,1,1,45,3,1.045155252688812,0.16919577911213574,1,1.86448807647432e-12,1.3858953510585845,3
1.0,1,1,46,3,1.5261779075409665,0.9136787735968264,1,7.909555700337526e-15,1.381856041678034,3
1.0,1,1,47,3,1.0153928407419601,0.06877363236179089,1,3.856976224965267e-15,1.3862720973065739,3
1.0,1,1,48,3,1.8833647045114006,1.0863802661517226,1,2.861653361071716e-15,1.3243775745674906,3
1.0,1,1,49,3,1.5203347200821076,0.9023241388325911,1,3.1854485728791064e-15,1.3516853369637412,3
1.0,1,1,50,3,1.0025942578610332,0.015853112189263656,1,1.3019591173477534e-13,1.3862940510755988,3
1.0,1,1,51,3,1.6712359158785641,1.0158149715637639,1,3.8872857524587075e-15,1.345961522118273,3
1.0,1,1,52,3,2.0943434984103533,1.0869981785748724,1,3.991073327184104e-15,1.3006742876747253,3
1.0,1,1,53,3,1.0538448289556241,0.18037249858234894,1,3.2035530257389386e-15,1.3862199736507457,3
1.0,1,1,54,3,1.7638330267760205,1.0152614386352112,1,3.767395173637285e-15,1.3456904415719804,3
1.0,1,1,55,3,1.1962994127115154,0.48112695145535755,1,3.8103635889386194e-14,1.3813299891699364,3
1.0,1,1,56,3,2.1512436018730936,1.052982339840141,1,3.3268776415441634e-15,1.2718170215536295,3
1.0,1,1,57,3,1.2766803562471827,0.6141921341049208,1,3.407465899988243e-15,1.3810955366077746,3
1.0,1,1,58,3,1.0197129922347186,0.08782694427660015,1,3.425544987691116e-15,1.3862042551084537,3
1.0,1,1,59,3,1.3421354266714904,0.7196940682354185,1,3.5732377863648596e-15,1.3783403267669243,3
1.0,1,2,0,2,1.3553533112298575,0.7316606883608058,1,3.466285551717305e-15,1.3814755008288584,3
1.0,1,2,1,2,2.223239133133454,1.014534944232346,1,4.976551099950608e-15,1.2806429995266173,3
1.0,1,2,2,2,1.7936196815546575,1.0652876510663936,1,3.4051827905874526e-15,1.336430680632299,3
1.0,1,2,3,2,1.4626147377495464,0.8633036513684236,1,3.643950781515351e-15,1.3707411322016072,3
1.0,1,2,4,2,1.095050019927175,0.30229214186216524,1,3.602667347716254e-15,1.3856566148914493,3
1.0,1,2,5,2,1.3774294321107716,0.7628992337172668,1,3.4763375639922965e-15,1.3786518168214803,3
1.0,1,2,6,2,1.2439544303618835,0.5620715208802898,1,3.55164069539703e-15,1.381431444176814,3
1.0,1,2,7,2,1.7926287441555595,1.0600572692089427,1,2.5245447420512473e-13,1.3604344763393452,3
1.0,1,2,8,2,1.01577801583459,0.06920016085568571,1,8.773222578116502e-15,1.3862817025968601,3
1.0,1,2,9,2,1.0271636502293562,0.11084379749661347,1,3.327324994554801e-15,1.3862391050319258,3
1.0,1,2,10,2,1.469931232272207,0.8544277926408055,1,3.578618922928182e-15,1.3710641470312734,3
1.0,1,2,11,2,2.2657266687685738,0.981119681424282,1,7.117293182390168e-15,1.1954663904985101,3
1.0,1,2,12,2,2.1083696077196863,1.070353110632507,1,4.2168690098644236e-14,1.2082822029495035,3
