content,label,theta,seed_rep,observer,source_goal,recovered_mu,recovered_mu_final,final_entropy,prior_drift,prior_mass_on_source_goal,value_divergence,theta_value,correct,confident,confidently_wrong
foreign,sig_creator,closed,10,51,1,2.0811990786695906,2.0,1.3862943611198906,1.15777897101416e-06,0.20317438032190366,2.499829289200078,0.004497564461163744,0,0,0
foreign,sig_creator,closed,10,52,1,2.0988516656596747,1.877649058104113,0.027938101860100113,7.459802775822052e-10,0.20645811704545727,2.925597926639968,1.0650897838959395e-05,0,1,0
foreign,sig_creator,closed,10,53,1,2.0841054709884617,2.035205884931237,0.012280064750952106,1.8790653643060225e-10,0.2711061396746511,3.042257476227307,6.23833295669716e-06,1,1,0
foreign,sig_creator,closed,10,54,1,2.1333729940609607,2.077810232667025,0.018522442152953306,1.5531744401385257e-10,0.27552673282003154,2.95270138821013,9.12286563027556e-06,0,1,0
foreign,sig_creator,closed,10,55,1,2.0463379544701423,1.7755756177765551,0.00015499077834729754,5.542122358927144e-10,0.3430694318635751,2.8789733638146195,1.837475460669595e-05,1,1,0
foreign,sig_creator,closed,10,56,1,1.9697672315483732,1.4854180257217326,0.0005873843556706791,1.9633789513527546e-10,0.21564100984786705,2.502412076498004,0.00521322114230161,0,1,0
foreign,sig_creator,closed,10,57,1,2.0523944681075865,2.146802329774611,0.11271691016539313,3.116381294697207e-10,0.2515647372410509,2.9878683793660117,7.66124052488091e-06,0,1,0
foreign,sig_creator,closed,10,58,1,2.0303061809902654,1.9999997409905297,0.2975859503960184,1.2036079028483347e-09,0.19017565508501236,2.8477774283512494,2.66428924580245e-05,0,1,1
foreign,sig_creator,closed,10,59,1,2.098222215938987,1.9524461783943878,0.0011786928799076505,1.0602200307371199e-10,0.1890283885060247,3.1349677116102077,3.580986331814233e-06,0,1,0
foreign,sig_creator,closed,11,0,2,1.9925570523248204,1.9592062133769392,0.0010368192983666689,1.0948149012268674e-10,0.19499019048651156,3.1264084073586,3.7125987844398046e-06,0,1,0
foreign,sig_creator,closed,11,1,2,2.1216125411824405,2.0994029105334278,0.024378107714593696,8.99593232878124e-10,0.4271118628240541,2.8761401351695213,2.7661703068165334e-05,1,1,0
foreign,sig_creator,closed,11,2,2,2.1322899541678453,1.9797778718560544,0.015037525784302433,7.176372016008033e-11,0.24995504840458765,3.0347749104053268,6.458858668163397e-06,0,1,0
foreign,sig_creator,closed,11,3,2,2.077373295869616,2.045917788999827,0.017872286277021747,6.57650689965675e-11,0.37027591867392995,3.0816404098892356,4.654029921056406e-06,1,1,0
foreign,sig_creator,closed,11,4,2,2.048421143233593,2.0333201336570923,0.01650952300494518,4.879935039407682e-10,0.1986984624313409,3.003796097481983,8.362895823760135e-06,0,1,0
foreign,sig_creator,closed,11,5,2,2.179084323862661,2.0960812595634906,0.0009095575538069264,3.8853750186644456e-10,0.20036219560239188,3.029427145850856,7.491885315044323e-06,0,1,0
foreign,sig_creator,closed,11,6,2,2.062250516172757,1.99999977013784,1.3862943611171235,3.497392440294495e-07,0.286707698447924,2.5840041227353194,0.004494842871861738,1,0,0
foreign,sig_creator,closed,11,7,2,2.1402938518555192,2.0733148402930945,0.0007674108088591998,5.058597371779435e-07,0.23153422976593402,2.59633168764371,0.004494584210189201,0,1,0
foreign,sig_creator,closed,11,8,2,2.136262487612792,1.9999744157192827,0.29780670024132877,1.283971010835114e-09,0.19627249039505504,2.8451864551136876,1.3645324416985208e-05,0,1,0
foreign,sig_creator,closed,11,9,2,2.1158769122377272,2.0349366832116207,6.801462972455037e-05,2.781958080344104e-06,0.21405574506842168,2.023573090370381,0.006689602831244043,0,1,0
foreign,sig_creator,closed,11,10,2,2.072315283053457,1.8656616780960618,0.00122659554511794,6.379983027648322e-05,0.2726781726033686,2.5799825508559984,0.0062356224688902215,0,1,0
