cell,t,meanfield_epistemic_total,exact_epistemic_total,epistemic_total_abs_error,meanfield_epistemic_goal,exact_epistemic_goal,epistemic_goal_abs_error,meanfield_pragmatic,exact_pragmatic,pragmatic_abs_error,joint_vs_product_kl
machine work labelled honestly,6,0.02668140250407669,0.02667240585722075,8.996646855941037e-06,0.026672399705886196,0.026672399689678716,1.6207479802687885e-11,-8.974036646991053,-8.974036646991053,0.0,1.678591235229275e-10
machine work labelled honestly,7,0.026740353866789413,0.026731352331208935,9.001535580477338e-06,0.026731352219969917,0.026731352219943716,2.6201263381153694e-14,-8.974036646991053,-8.974036646991053,0.0,6.7146772588007734e-12
machine work labelled honestly,8,0.026766797767956874,0.026757796144631918,9.001623324955688e-06,0.026757796141731127,0.026757796141729795,1.3322676295501878e-15,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,3.21528536679957e-13
machine work labelled honestly,9,0.026756274902820287,0.026747273277212713,9.001625607574226e-06,0.02674727327712656,0.02674727327712878,2.220446049250313e-15,-8.974036646991058,-8.974036646991053,5.329070518200751e-15,1.2336666098589345e-14
machine work labelled honestly,10,0.026894056844850134,0.026885055219168397,9.001625681737124e-06,0.026885055219174614,0.02688505521917417,4.440892098500626e-16,-8.974036646991053,-8.974036646991053,0.0,-1.5003283667512708e-18
machine work labelled honestly,11,0.026902248974538967,0.02689324734885634,9.001625682625303e-06,0.02689324734886389,0.02689324734886389,0.0,-8.974036646991053,-8.974036646991053,0.0,1.092103846756711e-18
machine work labelled honestly,12,0.026871680233674144,0.02686267860799063,9.001625683513481e-06,0.026862678607999513,0.026862678607998625,8.881784197001252e-16,-8.97403664699105,-8.974036646991053,1.7763568394002505e-15,2.220540569685958e-16
machine work labelled honestly,13,0.027003037036667177,0.026994035410983663,9.001625683513481e-06,0.026994035410991657,0.026994035410992545,8.881784197001252e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.220446933306879e-16
machine work labelled honestly,14,0.027118533233662312,0.027109531607979687,9.001625682625303e-06,0.02710953160798546,0.02710953160798546,0.0,-8.974036646991053,-8.974036646991053,0.0,7.8806906140771875e-25
machine work labelled honestly,15,0.027110088230589025,0.027101086604905955,9.001625683069392e-06,0.027101086604912616,0.027101086604912172,4.440892098500626e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.2204460495815173e-16
machine work labelled honestly,16,0.027061639898500633,0.02705263827281712,9.001625683513481e-06,0.02705263827282467,0.02705263827282467,0.0,-8.974036646991053,-8.974036646991053,0.0,1.2002333334808931e-27
machine work labelled honestly,17,0.026968999471708166,0.026959997846025097,9.001625683069392e-06,0.026959997846032202,0.026959997846032646,4.440892098500626e-16,-8.974036646991053,-8.974036646991053,0.0,4.0815863070012724e-29
machine work labelled honestly,18,0.02696011220422756,0.026951110578544046,9.001625683513481e-06,0.026951110578551596,0.026951110578551596,0.0,-8.974036646991054,-8.974036646991053,1.7763568394002505e-15,3.8746301099833643e-31
machine work labelled honestly,19,0.026935745620451534,0.026926743994767577,9.00162568395757e-06,0.02692674399477646,0.02692674399477557,8.881784197001252e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.2204460492503123e-16
machine work labelled honestly,20,0.026903069015908887,0.02689406739022626,9.001625682625303e-06,0.02689406739023381,0.02689406739023381,0.0,-8.974036646991053,-8.974036646991053,0.0,3.42685839386763e-35
machine work labelled honestly,21,0.02685486451884289,0.026845862893159822,9.001625683069392e-06,0.02684586289316604,0.02684586289316604,0.0,-8.974036646991053,-8.974036646991053,0.0,3.2453703952753763e-37
machine work labelled honestly,22,0.026799144597512647,0.026790142971829134,9.001625683513481e-06,0.026790142971836683,0.02679014297183757,8.881784197001252e-16,-8.974036646991056,-8.974036646991054,1.7763568394002505e-15,-2.2204460492503136e-16
machine work labelled honestly,23,0.026760275915418408,0.02675127428973667,9.001625681737124e-06,0.026751274289742888,0.026751274289742888,0.0,-8.974036646991053,-8.974036646991053,0.0,1.0525026467901966e-40
machine work labelled honestly,24,0.026677256472418698,0.02666825484673474,9.00162568395757e-06,0.026668254846743178,0.026668254846743178,0.0,-8.974036646991053,-8.974036646991053,0.0,3.646350448677384e-42
machine work labelled honestly,25,0.026546173622249203,0.02653717199656569,9.001625683513481e-06,0.02653717199657235,0.02653717199657235,0.0,-8.974036646991053,-8.974036646991054,1.7763568394002505e-15,1.2167458050518458e-43
machine work labelled honestly,26,0.02636354813782482,0.026354546512141752,9.001625683069392e-06,0.026354546512148413,0.026354546512148413,0.0,-8.974036646991053,-8.974036646991053,0.0,3.990793700433133e-45
machine work labelled honestly,27,0.026126460432503773,0.026117458806821148,9.001625682625303e-06,0.026117458806829585,0.02611745880683003,4.440892098500626e-16,-8.974036646991053,-8.974036646991053,0.0,1.2976119424834406e-46
machine work labelled honestly,28,0.026168334154687223,0.026159332529004153,9.001625683069392e-06,0.026159332529013035,0.026159332529013035,0.0,-8.974036646991053,-8.974036646991053,0.0,1.259390293905374e-48
machine work labelled honestly,29,0.02617307634041044,0.026164074714726482,9.00162568395757e-06,0.026164074714733587,0.0261640747147327,8.881784197001252e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,3.1199854101525896e-16
machine work labelled honestly,30,0.025934193099183656,0.025925191473500142,9.001625683513481e-06,0.02592519147350769,0.025925191473508136,4.440892098500626e-16,-8.974036646991053,-8.974036646991053,0.0,3.9625718551025515e-52
machine work labelled honestly,31,0.0261023445101789,0.026093342884495385,9.001625683513481e-06,0.02609334288450338,0.02609334288450338,0.0,-8.97403664699105,-8.974036646991053,1.7763568394002505e-15,2.2204460492503126e-16
machine work labelled honestly,32,0.02616833415468811,0.026159332529004153,9.00162568395757e-06,0.026159332529013923,0.026159332529013035,8.881784197001252e-16,-8.974036646991047,-8.97403664699105,3.552713678800501e-15,3.635221564569879e-16
machine work labelled honestly,33,0.026173076340409107,0.026164074714726482,9.001625682625303e-06,0.0261640747147327,0.0261640747147327,0.0,-8.974036646991053,-8.974036646991053,0.0,3.617788485073759e-58
machine work labelled honestly,34,0.02621716262422824,0.02620816099854517,9.001625683069392e-06,0.02620816099855139,0.026208160998550056,1.3322676295501878e-15,-8.97403664699105,-8.974036646991053,1.7763568394002505e-15,2.2204460492503126e-16
