arm,observer,salience,social,depth,peak,tail,collapse,captured,sustained,recovered,single_stage_engagement
slop,15,0.15,0.0,1,0.075,1.0476909232259428e-15,0.07499999999999896,0,0,0.005993154820794766,0.0
slop,16,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,17,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,18,0.15,0.0,1,0.075,5.832265912489361e-07,0.07499941677340875,0,0,0.07143447807146086,0.0
slop,19,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,20,0.15,0.0,1,0.075,2.30672608690813e-13,0.07499999999976932,0,0,0.01172761808982048,0.0
slop,21,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.4166666666666667
slop,22,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.16666666666666666
slop,23,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,24,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,25,0.15,0.0,1,0.075,1.9916804516152672e-05,0.07498008319548384,0,0,0.10795038887197483,0.0
slop,26,0.15,0.0,1,0.075,6.281097542840295e-08,0.07499993718902456,0,0,0.054676430703497036,0.0
slop,27,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,28,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,29,0.15,0.0,1,0.075,1.6777690663621867e-12,0.07499999999832223,0,0,0.01500290751329647,0.0
slop,30,0.15,0.0,1,0.075,7.29661765914198e-23,0.075,0,0,0.0007658914677219908,0.0
slop,31,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,32,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.4166666666666667
slop,33,0.15,0.0,1,0.075,1.7938110648407072e-24,0.075,0,0,0.0004820154036384583,0.0
slop,34,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,35,0.15,0.0,1,0.075,5.2566491582627684e-05,0.07494743350841737,0,0,0.12049869854469031,0.3333333333333333
slop,36,0.15,0.0,1,0.075,7.669860787426987e-14,0.0749999999999233,0,0,0.010227616339160805,0.0
slop,37,0.15,0.0,1,0.075,2.15943127651198e-10,0.07499999978405687,0,0,0.027349319570278974,0.0
slop,38,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,39,0.15,0.0,1,0.075,3.5170400453372235e-09,0.07499999648295995,0,0,0.03851528817576089,0.0
slop,40,0.15,0.0,1,0.075,4.474314559746286e-09,0.07499999552568544,0,0,0.039664858893731836,0.0
slop,41,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,42,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,43,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,44,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,45,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,46,0.15,0.0,1,0.075,8.554540038571234e-18,0.07499999999999998,0,0,0.003290401819813882,0.0
slop,47,0.15,0.0,1,0.075,1.3101727635660042e-05,0.07498689827236434,0,0,0.10288868730574263,0.0
slop,48,0.15,0.0,1,0.075,3.153269353513796e-09,0.07499999684673064,0,0,0.03800467583534384,0.08333333333333333
slop,49,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,50,0.15,0.0,1,0.075,4.938324220913242e-06,0.07499506167577909,0,0,0.09189361131785279,0.4166666666666667
slop,51,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,52,0.15,0.0,1,0.075,2.7806934303606186e-08,0.0749999721930657,0,0,0.04954197290573226,0.0
slop,53,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,54,0.15,0.0,1,0.075,3.601168640968845e-11,0.07499999996398832,0,0,0.02192882345047642,0.0
slop,55,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,56,0.15,0.0,1,0.075,5.7853810846078075e-22,0.075,0,0,0.000992017316487681,0.0
slop,57,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,58,0.15,0.0,1,0.075,4.504728023366235e-14,0.07499999999995495,0,0,0.009572660381509612,0.08333333333333333
slop,59,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,60,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,61,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.3333333333333333
slop,62,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.16666666666666666
slop,63,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,64,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,65,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,66,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,67,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,68,0.15,0.0,1,0.075,1.1226991115086315e-11,0.074999999988773,0,0,0.01898623070464356,0.0
slop,69,0.15,0.0,1,0.075,3.2990740264748656e-15,0.0749999999999967,0,0,0.006913852847327373,0.0
slop,70,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.3333333333333333
slop,71,0.15,0.0,1,0.075,5.549119444421386e-08,0.07499994450880555,0,0,0.05386405060991639,0.0
slop,72,0.15,0.0,1,0.075,2.858455964212259e-10,0.0749999997141544,0,0,0.028309738947003504,0.3333333333333333
slop,73,0.15,0.0,1,0.075,1.2252642069808883e-11,0.07499999998774735,0,0,0.01919269711834759,0.0
slop,74,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,75,0.15,0.0,1,0.075,8.241331900765553e-10,0.0749999991758668,0,0,0.03224386380191846,0.0
slop,76,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,77,0.15,0.0,1,0.075,3.5586245039279957e-14,0.07499999999996441,0,0,0.009296014209050574,0.0
slop,78,0.15,0.0,1,0.075,5.5956524604754375e-15,0.0749999999999944,0,0,0.007384096232060378,0.0
slop,79,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
quiet_masterpiece,0,0.2,0.0,3,0.1,1.0247528194732828e-05,0.09998975247180528,0,0,0.0967422647020919,0.0
quiet_masterpiece,1,0.2,0.0,3,0.1,0.016635290341387658,0.08336470965861234,0,0,0.21263858319937468,0.08333333333333333
quiet_masterpiece,2,0.2,0.0,3,0.1,0.1,0.0,0,0,0.35975415100692576,0.3333333333333333
quiet_masterpiece,3,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
quiet_masterpiece,4,0.2,0.0,3,0.1,7.951287068441059e-05,0.09992048712931559,0,0,0.12221532204394636,0.0
quiet_masterpiece,5,0.2,0.0,3,0.1,7.296269116635536e-05,0.09992703730883365,0,0,0.12104337225734363,0.0
quiet_masterpiece,6,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
quiet_masterpiece,7,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.08333333333333333
quiet_masterpiece,8,0.2,0.0,3,0.1,0.0013053447251164378,0.09869465527488357,0,0,0.16538909829975723,0.4166666666666667
quiet_masterpiece,9,0.2,0.0,3,0.1,0.0,0.1,0,0,0.0,0.0
quiet_masterpiece,10,0.2,0.0,3,0.1,4.832155289178571e-06,0.09999516784471082,0,0,0.08863229500422798,0.0
