regime,arm,observer,n_train,evasion,trained_at,evaded,fired,score
co_evolution,human_fast,0,128,0.5,0.5,0,0,-0.2628191201214234
co_evolution,human_fast,1,128,0.5,0.5,0,0,-0.5392455717495986
co_evolution,human_fast,2,128,0.5,0.5,0,0,-0.8446758157076504
co_evolution,human_fast,3,128,0.5,0.5,0,0,-0.7385245720014723
co_evolution,human_fast,4,128,0.5,0.5,0,0,-0.5074755118148238
co_evolution,human_fast,5,128,0.5,0.5,0,0,-0.8037134998494637
co_evolution,human_fast,6,128,0.5,0.5,0,0,-0.5670818205624079
co_evolution,human_fast,7,128,0.5,0.5,0,0,-0.03177005993477492
co_evolution,human_fast,8,128,0.5,0.5,0,0,-0.14310084364067333
co_evolution,human_fast,9,128,0.5,0.5,0,0,-0.47560287199515433
co_evolution,human_fast,10,128,0.5,0.5,0,0,-0.5801553916135015
co_evolution,human_fast,11,128,0.5,0.5,0,0,-0.32242542886900755
co_evolution,human_fast,12,128,0.5,0.5,0,0,-0.645396815455777
co_evolution,human_fast,13,128,0.5,0.5,0,0,-0.5670818205624077
co_evolution,human_fast,14,128,0.5,0.5,0,0,-0.5801553916135015
co_evolution,human_fast,15,128,0.5,0.5,0,0,-1.043954815959524
co_evolution,machine,0,512,0.75,0.75,0,1,2.240709689275958
co_evolution,machine,1,512,0.75,0.75,1,0,-0.019048194970694432
co_evolution,machine,2,512,0.75,0.75,1,0,-0.3506568716131695
co_evolution,machine,3,512,0.75,0.75,1,0,-0.24012064606567782
co_evolution,machine,4,512,0.75,0.75,0,1,2.281065414937888
co_evolution,machine,5,512,0.75,0.75,0,1,1.0505869627351498
co_evolution,machine,6,512,0.75,0.75,1,0,-0.603436582735923
co_evolution,machine,7,512,0.75,0.75,0,1,3.7135720667043075
co_evolution,machine,8,512,0.75,0.75,1,1,1.1606361452180216
co_evolution,machine,9,512,0.75,0.75,1,0,-0.23900083725645085
co_evolution,machine,10,512,0.75,0.75,0,1,1.8411662799626038
co_evolution,machine,11,512,0.75,0.75,1,0,-0.019048194970694432
co_evolution,machine,12,512,0.75,0.75,1,0,-0.1295844205181861
co_evolution,machine,13,512,0.75,0.75,1,0,-0.1310282624064043
co_evolution,machine,14,512,0.75,0.75,1,0,-0.1295844205181861
