mu,beta,i,settled_at,n_steps,real_gain,sham_at,sham_gain
2,0.25,34,10,24,0.15214410479624974,11,0.14444509633713887
2,0.25,35,3,24,0.3839357296265393,11,0.4131404263876315
2,0.25,36,3,24,0.32851574011036955,7,0.06823119336798844
2,0.25,37,17,24,0.10239332432195769,2,-0.14938045400025057
2,0.25,38,2,24,0.2241677869985761,11,0.13734460074929244
2,0.25,41,13,24,0.07864525854917526,6,0.05892130595475997
2,0.25,42,15,24,0.07067876835890541,2,0.0020652876656523933
2,0.25,43,12,24,0.11036951893456814,2,-0.13963103680024358
2,0.25,44,13,24,0.10538700126794365,21,0.06931837235143234
2,0.25,46,2,24,0.046837816592287806,8,0.001649909941348282
2,0.25,48,3,24,-0.004778440471423506,7,-0.10087286743559432
2,0.25,49,14,24,0.015548318697333086,2,0.009587054962619135
2,0.25,50,10,24,0.12432174530288398,13,-0.05244110456524376
2,0.25,51,2,24,-0.06278520536968402,7,-0.17571106803874414
2,0.25,52,15,24,-0.2706570511741053,2,-0.12688614268117115
2,0.25,53,13,24,0.06549862021101349,2,-0.043363386544674976
2,0.25,54,4,24,0.32498007921420125,3,0.3407526890921453
2,0.25,55,3,24,-0.08900789700121803,2,-0.10319347451396799
2,0.25,56,3,24,0.1797386740134692,6,0.130364255357321
2,0.25,57,5,24,0.054584743674631175,7,-0.06047111473370381
2,0.25,62,2,24,-0.08866090548945271,4,-0.043731864696977985
2,0.25,63,14,24,0.22956832436710495,2,0.13317369409279145
2,0.25,67,5,24,0.12617984580167252,2,0.19039960731812444
2,0.25,68,3,24,0.048279436018201505,2,0.1326364335682455
2,0.25,70,6,24,-0.0006712346015358417,2,-0.022326913893230937
2,0.25,71,2,24,0.050671731672038645,3,0.29607762743858834
2,0.25,74,10,24,0.20148084465700755,2,0.1302079715283706
2,0.25,75,6,24,0.033030206555525465,4,0.04195301997878986
2,0.25,77,16,24,-0.056706534786453044,11,-0.021211380108057787
2,0.25,79,11,24,-0.9056234213222063,13,-0.7802129309681551
2,0.25,80,5,24,-0.2697405859991415,3,-0.16280869547215904
2,0.25,83,12,24,0.00596119686662222,6,0.07626855603566218
2,0.25,85,16,24,0.23221391080322995,2,0.05065744034102915
2,0.25,89,2,24,-0.023738815040783567,16,-0.5929628227623545
2,0.25,90,9,24,-0.09242253813613122,4,0.0632763756083985
2,0.25,95,12,24,0.18890951555654922,9,0.11937656598477164
2,0.25,98,16,24,-0.02874431812683098,2,-0.053424137468332855
2,0.25,100,10,24,-0.05983074347958506,2,-0.10429848833111488
2,0.25,106,2,24,-0.08521677489734891,4,-0.18161979851918764
2,0.25,107,17,24,0.2417338856515472,2,0.13450539682712326
2,0.25,108,2,24,0.15817666190788882,13,0.052611706223271604
2,0.25,109,3,24,-0.0803921608044682,2,-0.06597397732759402
2,0.25,110,2,24,7.403617945889174e-05,8,-0.3431534185012255
2,0.25,113,3,24,0.17792916187487995,4,0.18127609876084216
2,0.25,115,6,24,0.08826132891149996,5,0.06206783889753087
2,0.25,117,16,24,0.05746237861676917,2,0.038334429263515046
2,0.25,118,17,24,0.10926768211891225,9,0.03940955362438037
2,0.25,119,4,24,-0.05609269223040325,2,-0.24247642982078577
2,0.1,4,4,24,0.035854168424675814,12,-0.1238962394496137
2,0.1,5,13,24,-0.14977968255460294,20,0.050146473911150125
